ID;TIME
0;13277927.41358 ns;
1;13210901.99053 ns;
2;13247558.84707 ns;
3;13257944.95642 ns;
4;13342248.27588 ns;
5;13297142.46094 ns;
6;13312919.06536 ns;
7;13313556.09000 ns;
8;13293383.64303 ns;
9;14519578.77725 ns;
10;13233831.15232 ns;
11;13263006.69461 ns;
12;13464302.75589 ns;
13;13245100.15547 ns;
14;13229056.26148 ns;
15;13232085.85382 ns;
16;13212243.09504 ns;
17;13225177.30296 ns;
18;13220272.95828 ns;
19;13243081.04813 ns;
20;13393690.80961 ns;
21;13303659.85632 ns;
22;13253686.94961 ns;
23;13177079.14859 ns;
24;13235242.10602 ns;
25;13204658.40399 ns;
26;13257797.80746 ns;
27;13239893.13096 ns;
28;13261164.53856 ns;
29;13271793.72311 ns;
30;13196352.86927 ns;
31;13186997.73401 ns;
32;13288578.01855 ns;
33;13287981.97210 ns;
34;13275827.28118 ns;
35;13433865.27151 ns;
36;13462101.10933 ns;
37;13420494.27330 ns;
38;13283929.78758 ns;
39;13209652.15564 ns;
40;13371660.37410 ns;
41;13601944.78184 ns;
42;14314916.91619 ns;
43;13527824.54342 ns;
44;13333690.35274 ns;
45;13307902.96197 ns;
46;13337770.47694 ns;
47;13315886.25908 ns;
48;13606721.53533 ns;
49;13658369.89135 ns;
50;13296531.51333 ns;
51;15129220.67195 ns;
52;13232142.66449 ns;
53;13252107.42652 ns;
54;13251740.48543 ns;
55;13360556.21505 ns;
56;13293650.00129 ns;
57;13274363.24209 ns;
58;13307771.64549 ns;
59;13259712.60667 ns;
60;13260440.90092 ns;
61;13229724.95109 ns;
62;13251957.48359 ns;
63;13339473.86593 ns;
64;13284166.34351 ns;
65;13231753.37166 ns;
66;13303415.84980 ns;
67;13425175.10056 ns;
68;13250905.08908 ns;
69;13218796.81200 ns;
70;13279649.42902 ns;
71;14732954.09232 ns;
72;14065125.02581 ns;
73;13930380.34439 ns;
74;13265814.63218 ns;
75;13256381.26582 ns;
76;13236911.03607 ns;
77;13195076.02602 ns;
78;13243759.98229 ns;
79;13205597.17715 ns;
80;13302832.84187 ns;
81;13195253.90863 ns;
82;13291001.31989 ns;
83;13311136.51395 ns;
84;13269607.90902 ns;
85;13291964.30743 ns;
86;13335082.67999 ns;
87;13327699.15462 ns;
88;13284110.46416 ns;
89;13266876.33991 ns;
90;13253975.65961 ns;
91;13238034.21110 ns;
92;13269362.03986 ns;
93;13215587.47441 ns;
94;13210021.89070 ns;
95;13207523.15223 ns;
96;13210487.55199 ns;
97;13319713.06354 ns;
98;13348347.50742 ns;
99;13296798.80291 ns;
100;13481797.65046 ns;
101;13307765.12623 ns;
102;13260443.69489 ns;
103;13768212.86976 ns;
104;13810193.16614 ns;
105;13229898.17709 ns;
106;13232509.60559 ns;
107;13230394.57202 ns;
108;13230863.95860 ns;
109;13282090.42549 ns;
110;13254308.14177 ns;
111;13302827.25394 ns;
112;13315945.86372 ns;
113;13367576.52462 ns;
114;13285960.07079 ns;
115;13254133.05312 ns;
116;13250881.80602 ns;
117;13381344.26624 ns;
118;13318080.45506 ns;
119;13272815.38397 ns;
120;13248051.51671 ns;
121;13225077.65144 ns;
122;13229532.16732 ns;
123;13228138.90874 ns;
124;13210089.87725 ns;
125;13226522.13275 ns;
126;13392762.28100 ns;
127;13229807.83880 ns;
128;13295494.01999 ns;
129;13287789.18833 ns;
130;13245007.02322 ns;
131;13246187.00892 ns;
132;13270119.20512 ns;
133;14396232.55283 ns;
134;13354519.38212 ns;
135;13644657.09776 ns;
136;13189685.53096 ns;
137;13254806.39935 ns;
138;13279664.33018 ns;
139;13254300.69119 ns;
