ID;HW;LENGTH;TIME
0;712;173;13208472.16994 ns;
1;299;73;13190766.79647 ns;
2;38;11;13164933.30523 ns;
3;319;82;13146184.85048 ns;
4;669;169;13189326.97177 ns;
5;205;54;14359849.97079 ns;
6;154;39;13295495.41697 ns;
7;469;113;13174776.91919 ns;
8;352;90;13260073.95983 ns;
9;621;153;13192352.83881 ns;
10;345;89;13194916.76986 ns;
11;99;24;13172097.96980 ns;
12;330;83;13253957.96448 ns;
13;623;146;13174307.06695 ns;
14;469;114;13174102.17598 ns;
15;57;17;13173812.06900 ns;
16;682;174;13145054.22488 ns;
17;45;10;13191672.04201 ns;
18;304;73;13327819.29523 ns;
19;297;72;13192337.93765 ns;
20;233;57;13256006.87414 ns;
21;318;80;13184279.66908 ns;
22;255;62;13168776.40784 ns;
23;123;29;13173558.28360 ns;
24;267;66;13145155.27338 ns;
25;261;69;13149631.20967 ns;
26;367;90;13174288.90616 ns;
27;403;105;13222362.84614 ns;
28;491;128;13131136.07466 ns;
29;579;153;13133049.01123 ns;
30;688;174;13144095.89395 ns;
31;318;81;13130667.15375 ns;
32;0;0;13129039.20189 ns;
33;351;89;13220500.20099 ns;
34;327;82;13372558.63473 ns;
35;596;146;13138984.79566 ns;
36;580;144;13143086.80594 ns;
37;603;150;13141016.01020 ns;
38;363;93;13136753.34677 ns;
39;324;82;13145554.81076 ns;
40;214;52;13132263.90630 ns;
41;614;152;13158969.11547 ns;
42;128;35;13242978.60265 ns;
43;373;99;13142665.84814 ns;
44;43;12;13143561.78045 ns;
45;679;168;13142666.77946 ns;
46;322;80;13208515.94210 ns;
47;12;3;13141444.88424 ns;
48;661;160;13133622.70594 ns;
49;740;188;13207776.00631 ns;
50;744;187;13130308.12889 ns;
51;112;27;13172021.13569 ns;
52;108;28;13230843.93516 ns;
53;221;55;13194272.76030 ns;
54;327;79;13184562.79114 ns;
55;696;174;13200796.20928 ns;
56;481;118;13209227.00688 ns;
57;260;69;13184932.06054 ns;
58;425;110;13153849.16961 ns;
59;492;127;13171975.96654 ns;
60;441;105;13182138.09282 ns;
61;158;41;13188411.94734 ns;
62;475;114;13169179.20485 ns;
63;566;131;13177418.15001 ns;
64;0;0;13227823.19039 ns;
65;348;88;13170326.12860 ns;
66;290;73;13187093.19457 ns;
67;672;176;13182824.94321 ns;
68;180;46;13200749.17749 ns;
69;131;34;13249984.01105 ns;
70;65;19;13229392.00327 ns;
71;236;59;13274886.17972 ns;
72;91;24;13176606.03672 ns;
73;545;142;13341309.03706 ns;
74;706;176;13222902.08191 ns;
75;41;11;13206799.04893 ns;
76;107;25;13200598.30323 ns;
77;199;52;13286117.92997 ns;
78;673;168;14418094.41894 ns;
79;212;56;13216105.28976 ns;
80;72;20;13133428.99084 ns;
81;4;1;13141645.11859 ns;
82;372;98;13222560.75218 ns;
83;90;21;13155004.94093 ns;
84;470;116;13174209.74374 ns;
85;665;175;13142616.02238 ns;
86;439;107;13225765.89882 ns;
87;60;16;13146867.97559 ns;
88;242;61;13151220.97731 ns;
89;466;115;13154475.94970 ns;
90;498;130;13187091.79759 ns;
91;438;104;13159298.80366 ns;
92;324;79;13166224.58398 ns;
93;305;77;13204291.92856 ns;
94;265;62;13155777.93866 ns;
95;746;182;13152339.96138 ns;
96;48;12;13214485.25414 ns;
97;500;131;13147166.93014 ns;
98;26;8;13152287.80732 ns;
99;164;41;13237149.92031 ns;
100;339;84;13171975.03522 ns;
101;609;153;13277960.94120 ns;
102;420;105;13214614.24232 ns;
103;632;161;13225796.63247 ns;
104;260;65;13229046.01693 ns;
105;167;44;13226639.94506 ns;
106;93;25;13293061.87108 ns;
107;684;175;13372660.61455 ns;
108;190;48;13248536.73577 ns;
109;52;14;13187426.14239 ns;
110;582;150;13172282.37167 ns;
111;634;159;13182617.25828 ns;
112;634;162;13190126.04654 ns;
113;415;103;13147978.11210 ns;
114;634;156;13237101.02588 ns;
115;438;109;13245968.14811 ns;
116;365;93;13170049.99146 ns;
117;218;50;13187540.22941 ns;
118;772;186;13171500.06071 ns;
119;263;68;13165988.02805 ns;
120;766;186;13218328.35674 ns;
121;503;124;13272182.08462 ns;
122;717;181;13251584.95456 ns;
123;435;105;13247136.95794 ns;
124;153;36;13222549.11065 ns;
125;627;156;13229716.10352 ns;
126;529;134;13186218.21702 ns;
127;438;110;13184098.99250 ns;
128;192;50;13173294.25365 ns;
129;536;129;13186985.62682 ns;
130;161;42;13263177.59231 ns;
131;390;93;13132933.06157 ns;
132;361;87;13169732.87612 ns;
133;423;108;13185006.10068 ns;
134;738;181;13167036.69727 ns;
135;430;109;13194012.92130 ns;
136;666;157;13263973.87311 ns;
137;244;63;13543854.00191 ns;
138;310;77;13196536.80548 ns;
139;661;175;13207395.09538 ns;
140;222;56;13173900.07898 ns;
141;43;14;13228431.80969 ns;
142;711;174;13322540.09321 ns;
143;106;26;13196683.95445 ns;
144;21;6;13223924.67409 ns;
145;706;183;13159289.95609 ns;
146;661;165;13308465.94647 ns;
147;16;5;13300438.87720 ns;
148;168;43;13276698.06778 ns;
149;61;17;13264713.80889 ns;
150;518;124;13256111.18227 ns;
151;223;57;13227224.81564 ns;
152;724;179;14576566.87126 ns;
153;20;5;13248930.21956 ns;
154;738;185;13345410.58168 ns;
155;18;4;13322962.91366 ns;
156;164;39;13148205.82047 ns;
157;593;151;13151652.17966 ns;
158;482;116;13134195.93498 ns;
159;423;109;13229825.99959 ns;
160;770;178;13174794.14865 ns;
161;369;91;13130711.85723 ns;
162;86;18;13126920.90869 ns;
163;53;14;13145907.31636 ns;
164;234;61;13128635.93921 ns;
165;595;153;13280881.10313 ns;
166;559;138;13184530.19485 ns;
167;128;29;13198909.34974 ns;
168;80;17;13137722.85357 ns;
169;364;91;13192175.88753 ns;
170;443;113;13128097.16910 ns;
171;236;60;13141246.04687 ns;
172;254;61;13155622.87346 ns;
173;302;75;13188777.02579 ns;
174;392;102;13226777.31514 ns;
175;356;87;13134175.91155 ns;
176;75;20;13131062.03452 ns;
177;250;64;13131817.80279 ns;
178;790;188;13152387.92449 ns;
179;562;142;13209674.04172 ns;
180;577;141;13260758.01626 ns;
181;590;146;13342617.07962 ns;
182;566;141;13157779.35088 ns;
183;49;12;13147437.94501 ns;
184;29;6;13150305.95288 ns;
185;497;121;13157677.83672 ns;
186;506;130;13178792.31647 ns;
187;312;78;13143498.91618 ns;
188;451;115;13187593.78046 ns;
189;362;90;13133302.79663 ns;
190;433;111;13142162.00262 ns;
191;690;185;13129908.12585 ns;
192;177;46;13143782.96956 ns;
193;3;1;13229240.66335 ns;
194;516;136;13314479.03067 ns;
195;25;5;13317043.89304 ns;
196;716;177;13209295.92475 ns;
197;142;35;13145017.90330 ns;
198;51;12;13266082.38742 ns;
199;360;84;13134018.05237 ns;
200;596;141;13166417.83342 ns;
201;118;28;13131215.70274 ns;
202;132;34;13145016.97198 ns;
203;209;59;13210206.75823 ns;
204;548;136;13145346.19451 ns;
205;488;123;13132469.26293 ns;
206;674;175;13143184.12915 ns;
207;169;42;13143204.15258 ns;
208;147;35;13154339.04529 ns;
209;42;10;13143137.09736 ns;
210;79;21;13168155.21568 ns;
211;376;93;13170246.03486 ns;
212;211;54;13136094.90171 ns;
213;743;184;13131715.82296 ns;
214;454;114;13132686.72675 ns;
215;157;39;13248259.20165 ns;
216;279;71;13167693.74534 ns;
217;371;91;13251259.92298 ns;
218;502;125;13253053.18460 ns;
219;616;151;13197806.19815 ns;
220;546;140;13187314.84935 ns;
221;665;174;13183974.19527 ns;
222;568;142;13151193.96895 ns;
223;351;83;13143674.93615 ns;
224;120;30;13325424.86489 ns;
225;262;69;14392996.20688 ns;
226;643;158;13213664.29329 ns;
227;110;28;13175530.82481 ns;
228;54;12;13304902.70630 ns;
229;723;184;13210336.21207 ns;
230;111;27;13192853.89036 ns;
231;110;28;13172045.35007 ns;
232;142;36;13206739.90995 ns;
233;455;114;13173396.23347 ns;
234;312;80;13189432.21122 ns;
235;247;62;13173984.82934 ns;
236;118;34;13144728.72764 ns;
237;98;26;13196056.24303 ns;
238;100;24;13219051.06306 ns;
239;457;114;13173318.93370 ns;
240;222;54;13237058.65070 ns;
241;202;46;13183437.75347 ns;
242;352;87;13177671.00409 ns;
243;779;186;13132631.77872 ns;
244;380;95;13134115.37558 ns;
245;234;61;13135422.95247 ns;
246;240;64;13210557.86684 ns;
247;40;12;13224110.00729 ns;
248;642;160;13131776.82459 ns;
249;319;75;13145404.40217 ns;
250;23;5;13142466.07944 ns;
251;564;136;13142392.97062 ns;
252;741;178;13131156.09810 ns;
253;457;113;13273155.78237 ns;
254;542;143;13383748.00980 ns;
255;470;117;13170022.05178 ns;
256;228;59;13130411.04004 ns;
257;438;112;13149609.78925 ns;
258;665;165;13144375.75638 ns;
259;152;38;13145596.72028 ns;
260;122;30;13131943.99700 ns;
261;494;123;13132863.21238 ns;
262;317;77;13218462.00153 ns;
263;121;29;13128831.05129 ns;
264;31;7;13146426.06303 ns;
265;500;128;13225853.90881 ns;
266;396;98;13221917.20828 ns;
267;170;41;13232540.80489 ns;
268;147;33;13144586.23528 ns;
269;168;40;13287471.14167 ns;
270;32;8;13186826.83632 ns;
271;417;102;13145999.98295 ns;
272;667;169;13186880.85303 ns;
273;733;182;13135002.92599 ns;
274;543;133;13147873.80397 ns;
275;9;2;13145673.08873 ns;
276;147;38;13181756.25056 ns;
277;578;147;13168334.02961 ns;
278;221;56;13131706.04408 ns;
279;511;125;13131770.77100 ns;
280;0;0;13152220.75209 ns;
281;391;104;13152331.11382 ns;
282;585;146;13270796.27663 ns;
283;77;19;13141170.14408 ns;
284;238;58;13212969.06099 ns;
