ID;HW;TIME;
0;768;13152659.87068;
1;771;13150840.99770;
2;794;13150962.06963;
3;748;13155046.85044;
4;735;13154479.67499;
5;770;13151612.13279;
6;776;13151195.83160;
7;758;13153028.67442;
8;779;13149551.11593;
9;777;13153137.63916;
10;761;13150362.29789;
11;760;13154982.58919;
12;754;13153950.68377;
13;755;13170873.74628;
14;773;13151828.19963;
15;739;13180358.33538;
16;773;13147527.35198;
17;795;13161429.20405;
18;780;13155994.00550;
19;735;13152429.83401;
20;738;13150424.69651;
21;742;13150201.17909;
22;742;13149667.53125;
23;784;13153390.95891;
24;722;13149882.66677;
25;749;13165829.70321;
26;766;13150996.52857;
27;740;13152058.23630;
28;775;13152210.97320;
29;755;13154602.60957;
30;747;13154515.06525;
31;783;13153350.91203;
32;758;13154600.74693;
33;760;13148434.46016;
34;765;13153353.70600;
35;783;13146616.51850;
36;719;13172216.71343;
37;770;13315512.79873;
38;756;13163296.50581;
39;770;13150324.11367;
40;791;13148861.93722;
41;752;13154076.41232;
42;747;13149401.17300;
43;801;13154657.55761;
44;727;13151904.56808;
45;780;13151237.74111;
46;746;13152490.36998;
47;759;13151797.46598;
48;765;13150393.96286;
49;773;13154099.69538;
50;708;13159041.29297;
51;735;13157321.14017;
52;746;13154119.25316;
53;776;13152497.82056;
54;750;13147539.45917;
55;752;13149698.26490;
56;782;13174539.43193;
57;735;13158406.13097;
58;791;13154357.67174;
59;777;13153227.97745;
60;754;13149957.17257;
61;775;13152938.33613;
62;770;13135767.54183;
63;780;13128180.98813;
64;747;13126017.52579;
65;804;13126179.57592;
66;788;13126076.19911;
67;782;13125685.04363;
68;762;13126289.47198;
69;767;13155033.81193;
70;750;13151306.65898;
71;757;13155119.49360;
72;791;13153915.29351;
73;779;13151866.38385;
74;766;13158229.17968;
75;761;13152956.03126;
76;743;13156900.18237;
77;784;13151674.53140;
78;749;13150920.16011;
79;739;13149946.92802;
80;786;13149007.22355;
81;736;13149976.73035;
82;765;13203992.50835;
83;772;13151309.45295;
84;757;13153070.58394;
85;772;13149200.93864;
86;735;13150925.74805;
87;757;13156592.84592;
88;761;13154669.66480;
89;776;13153763.48794;
