ID;HW;LENGTH;TIME;
0;712;173;13162928.63339;
1;299;73;13162380.08440;
2;38;11;13157168.40327;
3;319;82;13144779.95038;
4;669;169;13156583.53269;
5;205;54;13144310.56380;
6;154;39;13150830.75315;
7;469;113;13142653.74094;
8;352;90;13142821.37901;
9;621;153;13151855.20798;
10;345;89;13145155.27338;
11;99;24;13148055.41188;
12;330;83;13143348.50758;
13;623;146;13142654.67227;
14;469;114;13146227.22566;
15;57;17;13142980.63517;
16;682;174;13151244.26037;
17;45;10;13151649.38569;
18;304;73;13152082.45069;
19;297;72;13152075.93143;
20;233;57;13141537.08518;
21;318;80;13151804.91656;
22;255;62;13140589.93012;
23;123;29;13145094.73741;
24;267;66;13157038.94943;
25;261;69;13164709.32215;
26;367;90;13159264.81038;
27;403;105;13220832.68315;
28;491;128;13141861.18543;
29;579;153;13173713.34881;
30;688;174;13153219.59555;
31;318;81;13141608.79701;
32;0;0;13142489.82817;
33;351;89;13144726.86499;
34;327;82;13140981.08560;
35;596;146;13144554.57032;
36;580;144;13149339.70571;
37;603;150;13433777.72719;
38;363;93;13236198.57430;
39;324;82;13189179.82280;
40;214;52;13164483.01077;
41;614;152;13142873.53307;
42;128;35;13153621.92690;
43;373;99;13149775.56467;
44;43;12;13155802.15305;
45;679;168;13158716.26139;
46;322;80;13160241.76776;
47;12;3;13163015.24639;
48;661;160;13149081.72935;
49;740;188;13147558.08562;
50;744;187;13145199.04554;
51;112;27;13142634.18317;
52;108;28;13146951.79462;
53;221;55;13150247.74522;
54;327;79;13154705.05506;
55;696;174;13150405.13873;
56;481;118;13154868.03651;
57;260;69;13155833.81802;
58;425;110;13152474.53749;
59;492;127;13148983.00916;
60;441;105;13149230.74096;
61;158;41;13152895.49530;
62;475;114;13148777.18687;
63;566;131;13151799.32863;
64;0;0;13143798.33639;
65;348;88;13145089.14948;
66;290;73;13154405.16919;
67;672;176;13151582.33047;
68;180;46;13152903.87720;
69;131;34;13144204.39303;
70;65;19;13144188.56055;
71;236;59;13141688.89076;
72;91;24;13149522.24493;
73;545;142;13148427.94091;
74;706;176;13150593.26589;
75;41;11;13172617.18214;
76;107;25;13141448.60953;
77;199;52;13164160.77316;
78;673;168;13153528.79465;
79;212;56;13142704.03236;
80;72;20;13149924.57628;
81;4;1;13150474.98792;
82;372;98;13153661.97377;
83;90;21;13147876.59794;
84;470;116;13146421.87208;
85;665;175;13156756.75869;
86;439;107;13151311.31560;
87;60;16;13150302.69325;
88;242;61;13141028.58305;
89;466;115;13145799.74860;
90;498;130;13162272.05098;
91;438;104;13154854.06667;
92;324;79;13151211.66408;
93;305;77;13151010.49840;
94;265;62;13139839.28412;
95;746;182;13144389.72622;
96;48;12;13156763.27795;
97;500;131;13149606.99528;
98;26;8;13152223.08040;
99;164;41;13152305.96811;
100;339;84;13147779.74039;
101;609;153;13173196.46478;
102;420;105;13148919.67922;
103;632;161;13168034.14375;
104;260;65;13164086.26735;
105;167;44;13162871.82271;
106;93;25;13144262.13503;
107;684;175;13152662.66465;
108;190;48;13152189.55278;
109;52;14;13151202.35085;
110;582;150;13145023.02557;
111;634;159;13145326.63673;
112;634;162;13153485.02249;
113;415;103;13176398.35179;
114;634;156;13146860.52501;
115;438;109;13153027.74310;
116;365;93;13143105.43239;
117;218;50;13212643.56375;
118;772;186;13148897.32748;
119;263;68;13167043.21653;
120;766;186;13155756.51824;
121;503;124;13159711.84522;
122;717;181;13143490.99994;
123;435;105;13161972.16511;
124;153;36;13156948.61114;
125;627;156;13149878.94148;
126;529;134;13200834.39350;
127;438;110;13122194.44662;
128;192;50;13115126.63960;
129;536;129;13129108.58542;
130;161;42;13121505.26792;
131;390;93;13110196.21789;
132;361;87;13114679.60477;
133;423;108;13119675.21906;
134;738;181;13112912.88584;
135;430;109;13116587.88472;
136;666;157;13110944.06992;
137;244;63;13111370.61566;
138;310;77;13191949.57614;
139;661;175;13125721.36521;
140;222;56;13112196.69878;
141;43;14;13122186.99604;
142;711;174;13121246.36024;
143;106;26;13114512.89803;
144;21;6;13120885.93841;
145;706;183;13109648.60022;
146;661;165;13123155.57152;
147;16;5;13116897.08382;
148;168;43;13119589.53738;
149;61;17;13112393.20785;
150;518;124;13114375.99361;
151;223;57;15827583.14908;
152;724;179;14055888.16851;
153;20;5;13220275.75225;
154;738;185;13250922.78421;
155;18;4;13196470.21592;
156;164;39;13181356.71318;
157;593;151;13154612.85412;
158;482;116;13136263.00544;
159;423;109;13123361.39381;
160;770;178;13127950.02013;
161;369;91;13121439.14402;
162;86;18;13113786.46642;
163;53;14;13120156.71283;
164;234;61;13116429.55989;
165;595;153;13113866.56016;
166;559;138;13123314.82768;
167;128;29;13114260.50961;
168;80;17;13111619.27879;
169;364;91;13113963.41771;
170;443;113;13119558.80374;
171;236;60;13134383.59648;
172;254;61;13114851.89945;
173;302;75;13122566.04433;
174;392;102;13117593.71310;
175;356;87;13114727.10222;
176;75;20;13113114.98284;
177;250;64;13139701.44838;
178;790;188;13114124.53651;
179;562;142;13122461.73620;
180;577;141;13120598.15973;
181;590;146;13114581.81590;
182;566;141;13122897.59517;
183;49;12;13119329.69838;
184;29;6;13130499.98134;
185;497;121;13126540.92908;
186;506;130;13174101.71032;
187;312;78;13125000.52154;
188;451;115;15487613.15644;
189;362;90;13210529.46150;
190;433;111;13226200.82647;
191;690;185;13171353.37740;
192;177;46;13161990.79156;
193;3;1;13152002.35695;
194;516;136;13155552.55860;
195;25;5;13151727.61679;
196;716;177;13142767.36230;
197;142;35;13154635.20586;
198;51;12;13147125.02062;
199;360;84;13140773.40066;
200;596;141;13151287.10121;
201;118;28;13146570.88369;
202;132;34;13160295.78447;
203;209;59;13144209.98096;
204;548;136;13163006.86449;
205;488;123;13153692.70742;
206;674;175;13156099.24495;
207;169;42;13151636.34717;
208;147;35;13151727.61679;
209;42;10;13151309.45295;
210;79;21;13143852.35310;
211;376;93;13144463.30070;
212;211;54;13142446.98733;
213;743;184;13142846.52472;
214;454;114;13146727.34588;
215;157;39;13151080.34760;
216;279;71;13152941.13010;
217;371;91;13141805.30608;
218;502;125;13145818.37505;
219;616;151;13148648.66436;
220;546;140;13148876.83839;
221;665;174;13151956.72214;
222;568;142;13150981.62740;
223;351;83;13168671.16839;
224;120;30;13146365.99272;
225;262;69;13151964.17272;
226;643;158;13145656.32492;
227;110;28;13142259.79149;
228;54;12;13152989.55888;
229;723;184;13144928.03067;
230;111;27;13146000.91428;
231;110;28;13143797.40506;
232;142;36;13151166.02927;
233;455;114;13145956.21079;
234;312;80;13153760.69397;
235;247;62;13169499.11416;
236;118;34;13151236.80979;
237;98;26;13162756.33872;
238;100;24;13145879.84234;
239;457;114;13146377.16860;
240;222;54;13143222.77904;
241;202;46;13150746.93412;
242;352;87;13144924.30538;
243;779;186;13141006.23131;
244;380;95;13144157.82690;
245;234;61;13142748.73585;
246;240;64;13142834.41752;
247;40;12;13151253.57360;
248;642;160;13143813.23755;
249;319;75;13150955.55037;
250;23;5;13172286.56262;
251;564;136;13149919.91967;
252;741;178;13144996.94854;
253;457;113;13146404.17695;
254;542;143;13153159.05958;
255;470;117;13141163.62482;
256;228;59;13140943.83270;
257;438;112;13151598.16295;
258;665;165;13151379.30214;
259;152;38;13153015.63591;
260;122;30;13143360.61478;
261;494;123;13141629.28611;
262;317;77;13152751.14030;
263;121;29;13145612.55276;
264;31;7;13152501.54585;
265;500;128;13144311.49513;
266;396;98;13150730.17031;
267;170;41;13155873.86489;
268;147;33;13154657.55761;
269;168;40;13148416.76503;
270;32;8;13152047.99175;
271;417;102;13151696.88314;
272;667;169;13160292.99051;
273;733;182;13151339.25527;
274;543;133;13155792.83983;
275;9;2;13154448.94135;
276;147;38;13154041.02206;
277;578;147;13154845.68477;
278;221;56;13151904.56808;
279;511;125;13152504.33981;
280;0;0;13146872.63221;
281;391;104;13154272.92138;
282;585;146;13143596.23939;
283;77;19;13145720.58618;
284;238;58;13144133.61251;
285;29;6;13154174.20119;
286;95;23;13147411.86798;
287;517;129;13153453.35752;
288;59;16;13152336.70175;
289;631;159;13144040.48026;
290;623;158;13146842.82988;
291;240;57;13145061.20980;
292;174;41;13154872.69312;
293;687;172;13158382.84791;
294;612;150;13147616.75894;
295;285;68;13156786.56101;
296;79;20;13140664.43592;
297;456;118;13146706.85679;
298;271;65;13151549.73418;
299;428;107;13160306.02902;
300;540;135;13154385.61141;
301;59;18;13145436.53280;
302;307;73;13152527.62288;
303;722;176;13157710.43301;
304;512;124;13144209.98096;
305;748;186;13145716.86089;
306;532;129;13222777.28468;
307;73;18;13151639.14114;
308;117;34;13162200.33914;
309;473;118;13144182.04129;
310;501;127;13150658.45847;
311;430;107;13153333.21691;
312;96;25;13141262.34502;
313;764;185;13141565.95618;
314;288;68;13150657.52715;
315;712;177;13144336.64083;
316;308;80;13155488.29734;
317;683;170;13152930.88555;
318;234;56;13165834.35982;
319;592;144;13161168.43373;
320;22;4;13151671.73743;
321;388;98;13225462.28766;
322;150;40;13154357.67174;
323;582;147;13147514.31346;
324;244;63;13146272.86047;
325;641;155;13148334.80865;
326;100;25;13143351.30155;
327;424;106;13151406.31050;
328;329;86;13144632.80141;
329;654;159;13146221.63773;
330;227;54;13142290.52514;
331;250;58;13139961.28738;
332;379;92;13142657.46623;
333;472;118;13148348.77849;
334;611;159;13170090.50399;
335;226;60;13139758.25906;
336;409;100;13149408.62358;
337;545;137;13166753.57521;
338;503;127;13149263.33725;
339;133;35;13151480.81630;
340;574;142;13151361.60702;
341;178;42;13154697.60448;
342;533;131;13149111.53167;
343;551;132;13153907.84293;
344;567;147;13145543.63489;
345;60;17;13142087.49682;
346;223;58;13146579.26559;
347;173;40;13152492.23262;
348;495;124;13146367.85537;
349;279;72;13155765.83147;
350;406;98;13155729.50989;
351;304;73;13151697.81446;
352;622;155;13147489.16775;
353;20;6;13151618.65205;
354;574;146;13145346.19451;
355;168;43;13149742.96838;
356;264;66;13153252.19184;
357;425;112;13162313.96049;
358;375;97;13156791.21763;
359;416;110;13150557.87563;
360;286;71;13161091.13395;
361;357;88;13152429.83401;
362;382;90;13141780.16037;
363;621;152;13143897.05658;
364;716;189;13145911.50731;
365;131;33;13148886.15161;
366;659;168;13150926.67937;
367;452;107;13154264.53948;
368;339;83;13143032.78923;
369;445;115;13164849.95186;
370;18;4;13148225.84391;
371;99;24;13148165.30794;
372;80;22;13145240.95505;
373;624;153;13147544.11578;
374;366;89;13144041.41158;
375;333;82;13140640.22154;
376;712;179;13149150.64722;
377;381;94;13141672.12695;
378;316;90;13141916.13346;
379;421;103;13151650.31701;
380;101;26;13147546.90975;
381;69;16;13152721.33797;
382;593;149;13144701.71928;
383;603;153;13183709.23400;
384;199;47;13152917.84704;
385;515;127;13143839.31458;
386;265;66;13152156.95649;
387;452;110;13152644.03820;
388;230;59;13141018.33850;
389;178;46;13152228.66833;
390;522;127;13142074.45830;
391;613;149;13138605.28171;
392;703;175;13153332.28558;
393;573;137;13154051.26661;
394;218;54;13144509.86683;
395;428;104;13149807.22964;
396;347;85;13144663.53506;
397;635;156;13146031.64792;
398;430;108;13174711.72661;
399;238;63;13145475.64834;
400;711;179;13142401.35252;
401;375;93;13144720.34574;
402;711;178;13144191.35451;
403;106;28;13145744.80057;
404;661;168;13152155.09385;
405;705;172;13151207.00747;
406;575;140;13150991.87195;
407;196;47;13152827.50875;
408;264;68;13148212.80539;
409;115;27;13144305.90719;
410;67;21;13145690.78386;
411;126;30;13144496.82832;
412;385;99;13153409.58536;
413;664;164;13151638.20982;
414;211;54;13141865.84204;
415;320;81;13143808.58094;
416;734;186;13140831.14266;
417;571;144;13154194.69029;
418;338;81;13145720.58618;
419;129;32;13143359.68345;
420;252;68;13152573.25768;
421;263;66;13150798.15686;
422;312;77;13155801.22173;
423;188;49;13140767.81273;
424;705;182;13142772.01891;
425;68;15;13149518.51964;
426;503;125;13150254.26447;
427;666;161;13160793.11073;
428;198;50;13142034.41143;
429;383;96;13142528.94372;
430;267;64;13144068.41993;
431;88;23;13141032.30834;
432;580;148;13143434.18926;
433;533;131;13172971.08471;
434;728;177;13141597.62114;
435;275;66;13154986.31448;
436;571;142;13150854.03621;
437;684;173;13150732.03295;
438;216;56;13139765.70964;
439;154;41;13152529.48552;
440;158;39;13150596.99118;
441;207;52;13142956.42078;
442;181;51;13145335.01863;
443;408;101;13155458.49502;
444;714;173;13162101.61895;
445;535;135;13159706.25728;
446;172;46;13152813.53891;
447;140;32;13157055.71324;
448;161;40;13152194.20940;
449;254;72;13152902.94588;
450;586;148;13143301.01013;
451;377;97;13150366.95451;
452;326;84;13144609.51835;
453;357;88;13141763.39656;
454;454;117;13142841.86810;
455;696;175;13166382.90882;
456;669;162;13152073.13746;
457;3;1;13154152.78077;
458;515;128;13144902.88496;
459;565;141;13151670.80611;
460;356;88;13146759.94217;
461;246;64;13143300.07881;
462;614;156;13146657.49669;
463;443;106;13151965.10404;
464;520;124;13139626.94257;
465;58;15;13153740.20487;
466;27;8;13152960.68788;
467;67;18;13144037.68629;
468;603;146;13148952.27551;
469;552;141;13151848.68872;
470;344;84;13146989.97885;
471;532;130;13151769.52630;
472;115;28;13148798.60729;
473;421;104;13153256.84845;
474;561;140;13149392.79109;
475;448;111;13149779.28996;
476;286;74;13151260.09285;
477;709;177;13140791.09579;
478;150;41;13154346.49587;
479;103;26;13157205.65617;
480;558;141;13173586.68894;
481;141;33;13153213.07629;
482;729;189;13140773.40066;
483;588;148;13145313.59822;
484;454;115;13145910.57599;
485;424;102;13152078.72540;
486;555;137;13153513.89349;
487;166;43;13152319.93794;
488;205;49;13142310.08291;
489;758;184;13140887.02202;
490;427;104;13151472.43440;
491;163;39;13150583.02134;
492;420;108;13151978.14256;
493;198;51;13142957.35210;
494;594;148;13143953.86726;
495;385;105;13148670.08477;
496;608;149;13144049.79348;
497;152;39;13159119.52406;
498;389;89;13147440.73898;
499;96;23;13147229.32875;
500;76;21;13144907.54157;
501;574;147;13151379.30214;
502;726;175;13154707.84903;
503;243;59;13145684.26460;
504;519;132;13153676.87494;
505;489;121;13143504.96978;
506;19;5;13150536.45521;
507;127;33;13151524.58847;
508;501;132;13152642.17556;
509;239;61;13142592.27365;
510;488;116;13139875.60570;
511;318;78;13152623.54910;
512;317;76;13152253.81404;
513;251;66;13152734.37649;
514;71;19;13142437.67411;
515;377;94;13141437.43366;
516;51;11;13151959.51611;
517;442;108;13151318.76618;
518;473;123;13193807.56468;
519;32;8;13149645.17951;
520;283;76;13155320.65928;
521;427;110;13170634.39637;
522;111;28;13153635.89674;
523;383;100;13150760.90395;
524;442;109;13152970.93242;
525;180;42;13149491.51129;
526;532;129;13149475.67880;
527;96;24;13147572.05546;
528;80;21;13143559.91781;
529;421;110;13151786.29011;
530;201;51;13141578.06337;
531;376;91;13144519.18006;
532;722;183;13141946.86711;
533;716;186;13143985.53222;
534;597;152;13154871.76180;
535;464;114;13152578.84562;
536;745;183;13145066.79773;
537;241;60;13147915.71349;
538;517;127;13141487.72508;
539;228;61;13143847.69648;
540;533;137;13149864.04032;
541;680;165;13151474.29705;
542;74;19;13144122.43664;
543;22;5;13152810.74494;
544;163;41;13154457.32325;
545;297;67;13150961.13831;
546;599;154;13171201.57182;
547;427;105;13153451.49487;
548;135;35;13154149.98680;
549;299;71;13154135.08564;
550;469;126;13140855.35705;
551;213;47;13151696.88314;
552;637;163;13153764.41926;
553;238;63;13141730.80027;
554;218;54;13145646.08037;
555;514;128;13144323.60232;
556;372;90;13143837.45193;
557;221;52;13146554.11988;
558;391;94;13142724.52146;
559;307;72;13153514.82481;
560;628;155;13142777.60684;
561;642;160;13145996.25766;
562;591;144;13152243.56949;
563;264;66;13151154.85340;
564;770;183;13144744.56012;
565;22;4;13152751.14030;
566;177;41;13143203.22126;
567;11;3;13152675.70317;
568;210;48;13151550.66550;
569;70;20;13148214.66804;
570;385;91;13142812.99710;
571;424;109;13149192.55674;
572;297;76;13153019.36120;
573;162;40;13154615.64809;
574;457;112;13148495.92745;
575;365;96;13140734.28512;
576;221;56;13142433.94881;
577;286;73;13156228.69879;
578;774;189;13139849.52867;
579;302;80;13150990.00931;
580;380;95;13144174.59071;
581;171;43;13151642.86643;
582;110;31;13148839.58548;
583;235;56;13143180.86952;
584;730;174;13145191.59496;
585;46;11;13155487.36602;
586;711;179;13141234.40534;
587;267;66;13153637.75939;
588;110;30;13143252.58136;
589;557;138;13151546.00888;
590;679;173;13155343.94234;
591;602;151;13145238.16109;
592;343;83;13145850.04002;
593;496;122;13143068.17949;
594;445;111;13151031.91882;
595;570;146;13144290.07471;
596;376;90;13144271.44825;
597;297;70;13154190.03367;
598;399;99;13153351.84336;
599;326;83;13144243.50858;
600;531;131;13155085.96599;
601;282;70;13148719.44487;
602;142;34;13160073.19838;
603;134;35;13154575.60122;
604;201;51;13142382.72607;
605;411;100;13154158.36871;
606;86;22;13144449.33087;
607;561;139;13155838.47463;
608;384;98;13152675.70317;
609;146;37;13149200.00732;
610;37;9;13152479.19410;
611;177;43;13149551.11593;
612;530;130;13147129.67724;
613;736;189;13144508.93551;
614;545;137;13151834.71888;
615;93;24;13162707.90994;
616;642;163;13201859.77966;
617;726;176;13154111.80258;
618;564;141;13154610.99148;
619;553;139;13149758.80086;
620;257;63;13169704.93644;
621;686;171;13151915.74395;
622;204;49;13142939.65697;
623;236;58;13145902.19408;
624;523;132;13147562.74223;
625;219;53;13146693.81827;
626;752;186;13143695.89090;
627;601;150;13144578.78470;
628;616;154;13146682.64240;
629;644;157;13171682.13427;
630;97;26;13145963.66137;
631;279;66;13151771.38895;
632;300;71;13150570.91415;
633;201;50;13143612.07187;
634;11;3;13154624.02999;
635;401;104;13150380.92434;
636;166;42;13152253.81404;
637;607;155;13144222.08816;
638;223;57;13142921.96184;
639;403;100;13151722.96017;
640;376;88;13142870.73910;
641;610;155;13142528.01239;
642;181;48;13149247.50477;
643;76;17;13144985.77267;
644;127;31;13145827.68828;
645;644;161;13152330.18249;
646;362;86;13144990.42928;
647;516;129;13150507.58421;
648;724;171;13153421.69255;
649;756;189;13152378.61127;
650;148;34;13157341.62927;
651;519;128;13147394.17285;
652;276;66;13153068.72129;
653;578;141;13151966.03537;
654;662;157;13145101.25667;
655;382;100;13152694.32962;
656;180;45;13153067.78997;
657;24;7;13152012.60149;
658;202;48;13153653.59187;
659;68;18;13147760.18262;
660;750;184;13140643.01550;
661;99;26;13146501.96582;
662;548;132;13153280.13152;
663;730;184;13144847.00561;
664;400;99;13173971.32516;
665;26;7;13145943.17228;
666;619;151;13143950.14197;
667;659;168;13154377.22951;
668;401;94;13143258.16929;
669;68;18;13151950.20288;
670;215;52;13143374.58462;
671;291;74;13155778.86999;
672;411;102;13148948.55022;
673;78;18;13144558.29561;
674;765;189;13144271.44825;
675;640;156;13144483.78980;
676;234;59;13144347.81671;
677;234;54;13145342.46922;
678;368;88;13140997.84940;
679;628;159;13143654.91271;
680;690;165;13147887.77381;
681;40;10;13153398.40949;
682;414;107;13151548.80285;
683;641;160;13142704.03236;
684;171;41;13153548.35242;
685;123;30;13143112.88297;
686;297;73;13150544.83712;
687;119;27;13146770.18672;
688;458;115;13145250.26828;
689;477;117;13149773.70203;
690;630;148;13145306.14763;
691;101;26;13144899.15967;
692;26;5;13149837.96328;
693;449;114;13147341.08746;
694;164;40;13153567.91019;
695;24;7;13149476.61012;
696;651;165;13150845.65431;
697;687;177;13142130.33766;
698;221;57;13140665.36725;
699;650;164;13147937.13391;
700;577;151;13142607.17481;
701;307;77;13153359.29394;
702;443;110;13154934.16041;
703;666;163;13149389.99712;
704;376;92;13159145.60109;
705;568;144;13149965.55448;
706;679;164;13148327.35807;
707;557;140;13151522.72582;
708;353;89;13140210.88183;
709;366;88;13144683.09283;
710;202;50;13142508.45462;
711;316;74;13150977.90211;
712;242;61;13151863.58988;
713;750;187;13146809.30227;
714;721;184;13146523.38624;
715;448;112;13147046.78953;
716;700;173;13150823.30257;
717;557;139;13156568.63153;
718;194;48;13151247.98566;
719;662;165;13155288.06299;
720;733;183;13142377.13814;
721;719;171;13149618.17116;
722;342;87;13145856.55928;
723;717;184;13143276.79574;
724;541;135;13150486.16379;
725;364;87;13144252.82180;
726;292;75;13148306.86897;
727;519;134;13149568.81106;
728;570;146;13142365.96227;
729;594;147;13142523.35578;
730;201;49;13141064.90463;
731;260;65;13150701.29931;
732;617;154;13148731.55206;
733;464;121;13143539.42871;
734;4;1;13149518.51964;
735;19;4;13150161.13222;
736;360;92;13141803.44343;
737;328;79;13156543.48582;
738;567;139;13154374.43554;
739;243;62;13143222.77904;
740;92;21;13151001.18518;
741;667;170;13153825.88655;
742;90;20;13144982.97870;
743;342;84;13140997.84940;
744;153;36;13205489.14373;
745;424;105;13193655.75910;
746;326;83;13143965.97445;
747;338;86;13145287.52118;
748;187;49;13141719.62440;
749;44;11;13152651.48878;
750;111;27;13145230.71051;
751;683;177;13143278.65839;
752;662;165;13150664.04641;
753;569;141;13157134.87566;
