ID;HW;TIME;
0;130;1475087.36700;
1;135;1476418.22696;
2;133;1473241.48566;
3;117;1476257.10815;
4;132;1472548.58166;
5;128;1474166.28897;
6;128;1472237.51992;
7;135;1473914.83188;
8;131;1475140.45238;
9;136;1473538.57756;
10;128;1475412.39858;
11;135;1475034.28161;
12;128;1473882.23559;
13;131;1473475.24762;
14;134;1473853.36459;
15;113;1475817.52390;
16;136;1473696.90239;
17;134;1475668.51228;
18;130;1473153.94133;
19;128;1475490.62967;
20;121;1474399.11962;
21;134;1473513.43185;
22;131;1474472.69410;
23;128;1472658.47772;
24;114;1474614.25513;
25;127;1475004.47929;
26;140;1474224.03097;
27;128;1472486.18305;
28;121;1474059.18688;
29;116;1473910.17526;
30;143;1473251.73020;
31;125;1476374.45480;
32;127;1475214.02687;
33;121;1476544.88683;
34;120;1473693.17710;
35;120;1475138.58974;
36;121;1474395.39433;
37;143;1480708.83006;
38;129;1474894.58323;
39;130;1474198.88526;
40;134;1475134.86445;
41;148;1473105.51256;
42;118;1475843.60093;
43;120;1473300.15898;
44;131;1474735.32706;
45;112;1474058.25555;
46;129;1475181.43058;
47;127;1475505.53083;
48;130;1473418.43694;
49;131;1475062.22129;
50;132;1472026.10970;
51;131;1474461.51823;
52;120;1473895.27410;
53;141;1474495.04584;
54;128;1477079.46599;
55;125;1473447.30794;
56;122;1476297.15502;
57;118;1474088.05788;
58;138;1476516.94715;
59;140;1473205.16407;
60;120;1472996.54782;
61;141;1475158.14751;
62;138;1473889.68617;
63;131;1476260.83344;
64;126;1472104.34079;
65;147;1474598.42265;
66;134;1473787.24068;
67;124;1473086.88611;
68;113;1473966.98594;
69;125;1473003.99840;
70;141;1475839.87564;
71;135;1473157.66662;
72;127;1474816.35213;
73;130;1474729.73913;
74;114;1480215.22909;
75;139;1472967.67682;
76;125;1472572.79605;
77;119;1475017.51781;
78;137;1473664.30610;
79;131;1480904.40780;
80;130;1473194.91953;
81;133;1475590.28119;
82;126;1473871.05972;
83;112;1472835.42901;
84;134;1476401.46315;
85;128;1473404.46711;
86;119;1474474.55674;
87;144;1472803.76405;
88;142;1475993.54386;
89;140;1473287.12046;
90;124;1472610.04895;
91;138;1481861.80741;
92;123;1472944.39375;
93;132;1474857.33032;
94;146;1473899.93072;
95;130;1475112.51271;
96;124;1474977.47093;
97;130;1475404.94800;
98;124;1473135.31488;
99;128;1472517.84801;
100;123;1474287.36091;
101;135;1473822.63094;
102;123;1475296.91458;
103;138;1491123.81041;
104;132;1477279.70034;
105;101;1474171.87691;
106;119;1474559.30710;
107;124;1475363.96980;
108;125;1472869.88795;
109;128;1475237.30993;
110;133;1474028.45323;
111;121;1471983.26886;
112;137;1473133.45224;
113;119;1474554.65049;
114;132;1474384.21845;
115;129;1472989.09724;
116;135;1473933.45833;
117;127;1474021.00265;
118;128;1475939.52715;
119;134;1475010.06722;
120;127;1474951.39390;
121;131;1536270.60354;
122;138;1471745.78160;
123;121;1474194.22865;
124;122;1473834.73814;
125;135;1475727.18561;
126;122;1473569.31120;
127;131;1476320.43809;
128;134;1474877.81942;
129;123;1474828.45932;
130;146;1474252.90197;
131;122;1474433.57855;
132;113;1473302.02162;
133;129;1474222.16833;
134;136;1474561.16974;
135;116;1473888.75484;
136;136;1473914.83188;
137;124;1474741.84632;
138;134;1478675.75288;
139;127;1474978.40226;
140;129;1472577.45266;
141;125;1477397.04698;
142;121;1475402.15403;
143;135;1475944.18377;
144;134;1474216.58039;
145;136;1478844.32226;
146;118;1470591.87293;
147;130;1472719.94501;
148;130;1474419.60871;
149;142;1472582.10927;
150;125;1476039.17867;
151;129;1475494.35496;
152;131;1473974.43652;
153;123;1474378.63052;
154;140;1474135.55533;
155;118;1475699.24593;
156;121;1472936.94317;
157;136;1476255.24551;
158;119;1475227.99671;
159;122;1473303.88427;
160;125;1474070.36275;
161;106;1472767.44246;
162;127;1475876.19722;
163;130;1473162.32324;
164;126;1475461.75867;
165;124;1473424.02488;
166;136;1474770.71732;
167;134;1473058.94643;
168;120;1473293.63972;
169;114;1473955.81007;
170;127;1475062.22129;
171;129;1475065.01526;
172;124;1473597.25088;
173;126;1474060.11820;
174;136;1472305.50647;
175;127;1475572.58606;
176;136;1474241.72610;
177;118;1475407.74196;
178;142;1472649.16450;
179;132;1474628.22497;
180;122;1475502.73687;
181;124;1474230.55023;
182;126;1475197.26306;
183;132;1473984.68107;
184;128;1474758.61013;
185;129;1473531.12698;
186;119;1473507.84391;
187;135;1475096.68022;
188;123;1473346.72511;
189;129;1474359.07274;
190;123;1472509.46611;
191;126;1475616.35822;
192;136;1473142.76546;
193;126;1471410.50547;
194;121;1475524.15729;
195;128;1472939.73714;
196;120;1476104.37125;
197;131;1473906.44997;
198;122;1475457.10206;
199;129;1480040.14045;
200;131;1473906.44997;
201;124;1473630.77849;
202;136;1474671.06581;
203;136;1474097.37110;
204;124;1473624.25923;
205;127;1474437.30384;
206;136;1474906.69042;
207;132;1473966.98594;
208;139;1473805.86714;
209;136;1473665.23743;
210;130;1473778.85878;
211;127;1473292.70840;
212;121;1475571.65474;
213;121;1472254.28373;
214;137;1474820.07742;
215;128;1474775.37394;
216;128;1474558.37578;
217;129;1476645.46967;
218;119;1474243.58875;
219;120;1476852.22328;
220;121;1471734.60573;
221;137;1475946.04641;
222;122;1473793.75994;
223;135;1472025.17837;
224;129;1473436.13207;
225;125;1472552.30695;
226;125;1474811.69552;
227;121;1472986.30327;
228;131;1475136.72709;
229;135;1474239.86346;
230;133;1475125.55122;
231;129;1474280.84165;
232;123;1474060.11820;
233;116;1473709.94091;
234;127;1472375.35566;
235;134;1474170.01426;
236;129;1474087.12655;
237;130;1474960.70713;
238;124;1472651.95847;
239;136;1473304.81559;
240;123;1474149.52517;
241;116;1474130.89871;
242;124;1475292.25796;
243;139;1474413.08945;
244;122;1474970.95168;
245;142;1473150.21604;
246;128;1482523.04643;
247;137;1474448.47971;
248;134;1471735.53705;
249;129;1474722.28855;
250;126;1474792.13774;
251;124;1475721.59767;
252;125;1473962.32933;
253;125;1475730.91090;
254;125;1472541.13108;
255;129;1473633.57246;
256;133;1474635.67555;
257;135;1474206.33584;
258;122;1474118.79152;
259;112;1472978.85269;
260;124;1473384.90933;
261;110;1473636.36643;
262;117;1474392.60036;
263;135;1475999.13180;
264;141;1472900.62159;
265;137;1475621.01483;
266;136;1475086.43568;
267;126;1474773.51129;
268;144;1475922.76335;
269;136;1471622.84702;
270;135;1472997.47914;
271;127;1471547.40989;
272;135;1474585.38413;
273;133;1471891.99924;
274;126;1475655.47377;
275;138;1472881.99514;
276;144;1475284.80738;
277;129;1473874.78501;
278;119;1477179.11750;
279;128;1474994.23474;
280;138;1473170.70514;
281;141;1476009.37635;
282;150;1472985.37195;
283;117;1475563.27283;
284;127;1474878.75074;
285;121;1472558.82621;
286;122;1473902.72468;
287;124;1473555.34136;
288;125;1504915.76642;
289;122;1473166.97985;
290;128;1476691.10447;
291;126;1474503.42774;
292;119;1476550.47476;
293;127;1475891.09838;
294;137;1473219.13391;
295;130;1475487.83571;
296;123;1473012.38030;
297;136;1474909.48439;
298;118;1472647.30185;
299;124;1474872.23148;
300;126;1474684.10432;
301;132;1472797.24479;
302;131;1473140.90282;
303;126;1473362.55759;
304;128;1474106.68433;
305;119;1473217.27127;
306;122;1474592.83471;
307;117;1479679.71861;
308;113;1473096.19933;
309;125;1474560.23842;
310;126;1473685.72652;
311;125;1475672.23758;
312;126;1474025.65926;
313;151;1475063.15261;
314;122;1473519.01978;
315;126;1473165.11720;
316;117;1474722.28855;
317;134;1474305.05604;
318;127;1474743.70897;
319;123;1470602.11748;
320;129;1474557.44445;
321;130;1472442.41089;
322;137;1473890.61749;
323;135;1473478.04159;
324;125;1473516.22581;
325;122;1474543.47461;
326;119;1475268.04358;
327;128;1473237.76037;
328;116;1474453.13632;
329;134;1475583.76193;
330;133;1471948.80992;
331;125;1475244.76051;
332;135;1474568.62032;
333;124;1473038.45733;
334;124;1473112.03182;
335;124;1472604.46101;
336;127;1474391.66903;
337;132;1474844.29181;
338;123;1475038.93822;
339;123;1473147.42208;
340;115;1472980.71533;
341;123;1475156.28487;
342;134;1474548.13123;
343;137;1475012.86119;
344;133;1473034.73204;
345;134;1475116.23800;
346;117;1473735.08662;
347;112;1474823.80271;
348;122;1471805.38625;
349;133;1472159.28882;
350;130;1475152.55958;
351;129;1472827.97843;
352;131;1474577.93355;
353;130;1474109.47829;
354;131;1480684.61567;
355;113;1473922.28246;
356;118;1473377.45875;
357;134;1476587.72767;
358;119;1471832.39460;
359;131;1476100.64596;
360;123;1472666.85963;
361;144;1476895.06412;
362;131;1473573.03649;
363;133;1473184.67498;
364;132;1470671.96667;
365;136;1473822.63094;
366;137;1474405.63887;
367;126;1472315.75102;
368;128;1475932.07657;
369;136;1473993.99430;
370;137;1474494.11452;
371;123;1473706.21562;
372;115;1472487.11437;
373;124;1475933.93922;
374;131;1472697.59327;
375;128;1475200.05703;
376;117;1473242.41698;
377;118;1475867.81532;
378;125;1472349.27863;
379;117;1473757.43836;
380;132;1474708.31871;
381;121;1474197.02262;
382;132;1474183.05278;
383;119;1474935.56142;
384;129;1474133.69268;
385;123;1473168.84249;
386;120;1471978.61224;
387;139;1473254.52417;
388;136;1474560.23842;
389;130;1474750.22823;
390;143;1474260.35255;
391;122;1476337.20189;
392;137;1473593.52559;
393;127;1474094.57713;
394;136;1473011.44898;
395;129;1473717.39149;
396;130;1482557.50537;
397;141;1474129.03607;
398;141;1475955.35964;
399;119;1473167.91117;
400;145;1475549.30300;
401;123;1473044.04527;
402;150;1473221.92788;
403;148;1475910.65615;
404;126;1473366.28288;
405;135;1474782.82452;
406;115;1474232.41287;
407;126;1473795.62259;
408;132;1480041.07177;
409;127;1473531.12698;
410;126;1473126.93298;
411;122;1472621.22482;
412;127;1476187.25896;
413;135;1471861.26560;
414;130;1473030.07543;
415;128;1472667.79095;
416;121;1474080.60730;
417;134;1473263.83740;
418;133;1473258.24946;
419;131;1472778.61834;
420;128;1474231.48155;
421;116;1476392.14993;
422;122;1473258.24946;
423;121;1474807.97023;
424;127;1474311.57529;
425;121;1473153.94133;
426;127;1472217.96215;
427;128;1472976.99004;
428;125;1475606.11367;
429;143;1472769.30511;
430;138;1475297.84590;
431;125;1473246.14227;
432;120;1470839.60474;
433;125;1471212.13377;
434;122;1474089.92052;
435;126;1474618.91174;
436;121;1474888.99529;
437;113;1474387.94374;
438;134;1473254.52417;
439;123;1475104.13080;
440;138;1473939.97759;
441;132;1471528.78344;
442;131;1476231.03112;
443;144;1472204.92363;
444;124;1475556.75358;
445;130;1474142.07458;
446;106;1474943.94332;
447;127;1472472.21321;
448;114;1473430.54414;
449;144;1473163.25456;
450;121;1479663.88613;
451;131;1476308.33089;
452;120;1476252.45154;
453;138;1477696.00153;
454;122;1472711.56311;
455;139;1482500.69469;
456;142;1472487.11437;
457;122;1472011.20853;
458;127;1473704.35297;
459;146;1472920.17937;
460;112;1474833.11594;
461;137;1474233.34420;
462;130;1475834.28770;
463;126;1473527.40169;
464;130;1473894.34278;
465;145;1473228.44714;
466;128;1474464.31220;
467;146;1475038.00690;
468;129;1473137.17753;
469;133;1476546.74947;
470;116;1472887.58308;
471;133;1473935.32097;
472;140;1473469.65969;
473;132;1474212.85510;
474;136;1475749.53735;
475;118;1473229.37846;
476;122;1476868.98708;
477;130;1475548.37167;
478;129;1475006.34193;
479;133;1472926.69863;
480;124;1473296.43369;
481;128;1476448.02928;
482;123;1473784.44672;
483;131;1475688.07006;
484;126;1475607.97632;
485;137;1472845.67356;
486;135;1475342.54938;
487;126;1473942.77155;
488;121;1472606.32366;
489;132;1474034.97249;
490;129;1474225.89362;
491;135;1474483.86997;
492;137;1478269.69624;
493;149;1473891.54881;
494;140;1474895.51455;
495;122;1472881.06382;
496;126;1471502.70641;
497;104;1483171.24695;
498;116;1473722.97943;
499;128;1475173.04868;
500;125;1473310.40353;
501;141;1475545.57770;
502;124;1474542.54329;
503;131;1472164.87676;
504;128;1475537.19580;
505;111;1472072.67582;
506;115;1474027.52191;
507;123;1475450.58280;
508;116;1476630.56850;
509;123;1474918.79761;
510;116;1473108.30653;
511;131;1473093.40537;
512;131;1471870.57883;
513;122;1475921.83203;
514;127;1473640.09172;
515;117;1474285.49826;
516;138;1473149.28472;
517;126;1473393.29123;
518;137;1473673.61933;
519;122;1472937.87450;
520;130;1474791.20642;
521;151;1473093.40537;
522;119;1476726.49473;
523;133;1472214.23686;
524;126;1474917.86629;
525;126;1474037.76646;
526;129;1472107.13476;
527;136;1474264.07784;
528;115;1472620.29350;
529;141;1473010.51766;
530;114;1471866.85354;
531;138;1474955.11919;
532;135;1473724.84207;
533;139;1472328.78953;
534;137;1474470.83145;
535;135;1473126.93298;
536;130;1475854.77680;
537;116;1471791.41641;
538;119;1473350.45040;
539;123;1473496.66804;
540;124;1475128.34519;
541;146;1472848.46753;
542;123;1473611.22072;
543;134;1471650.78670;
544;118;1478639.43130;
545;118;1475035.21293;
546;123;1475225.20274;
547;134;1474955.11919;
548;122;1473995.85694;
549;120;1474398.18829;
550;123;1472365.11111;
551;133;1473888.75484;
552;119;1474961.63845;
553;125;1474974.67697;
554;133;1474253.83329;
555;127;1473227.51582;
556;138;1476234.75641;
557;136;1473458.48382;
558;123;1472692.93666;
559;137;1475363.96980;
560;136;1473207.02672;
561;127;1475226.13406;
562;125;1473816.11168;
563;127;1475084.57303;
564;135;1474766.99203;
565;126;1473150.21604;
566;111;1473655.92420;
567;137;1474712.97532;
568;136;1475380.73361;
569;124;1474813.55816;
570;122;1473616.80865;
571;110;1473206.09540;
572;144;1483130.26875;
573;128;1473107.37520;
574;137;1475590.28119;
575;117;1475539.98977;
576;126;1473516.22581;
577;120;1475064.08393;
578;124;1475016.58648;
579;124;1474294.81149;
580;139;1474111.34094;
581;122;1473042.18262;
582;127;1475010.99855;
583;137;1472781.41230;
584;123;1475089.22964;
585;126;1473316.92278;
586;126;1474183.05278;
587;128;1473668.96272;
588;124;1473496.66804;
589;141;1473626.12188;
590;135;1472817.73388;
591;130;1474712.04400;
592;122;1472187.22850;
593;123;1474499.70245;
594;119;1474143.93723;
595;129;1475347.20600;
596;143;1473682.93256;
597;120;1473242.41698;
598;132;1486699.09686;
599;135;1473875.71633;
600;124;1475051.97674;
601;130;1474366.52333;
602;140;1474753.02219;
603;129;1474265.00916;
604;135;1473742.53720;
605;125;1473708.07827;
606;122;1474115.99755;
607;128;1472464.76263;
608;125;1474353.48481;
609;131;1475051.04542;
610;120;1475175.84264;
611;134;1473329.02998;
612;115;1471501.77509;
613;119;1474467.10616;
614;124;1474644.98878;
615;124;1472961.15756;
616;122;1476774.92350;
617;126;1472038.21689;
618;129;1474790.27510;
619;129;1471817.49344;
620;134;1472746.02205;
621;127;1474745.57161;
622;113;1472144.38766;
623;134;1475763.50719;
624;141;1471627.50363;
625;121;1474435.44120;
626;118;1473513.43185;
627;135;1485059.96913;
628;127;1474304.12471;
629;107;1474209.12981;
630;125;1513320.95265;
631;125;1472827.04711;
632;121;1473681.06991;
633;141;1474563.03239;
634;126;1474753.02219;
635;130;1474115.06623;
636;114;1474068.50010;
637;128;1472747.88469;
638;130;1472040.07953;
639;124;1473471.52233;
640;117;1475089.22964;
641;140;1475810.07332;
642;130;1474177.46484;
643;136;1474576.07090;
644;127;1473062.67172;
645;125;1481696.96331;
646;127;1476288.77312;
647;121;1473688.52049;
648;130;1474921.59158;
649;129;1472065.22524;
650;133;1472613.77424;
651;142;1474364.66068;
652;116;1473126.00166;
653;147;1475992.61254;
654;122;1472420.05914;
655;124;1475462.69000;
656;136;1473526.47036;
657;123;1475826.83712;
658;127;1473042.18262;
659;134;1473638.22907;
660;143;1473038.45733;
661;126;1472649.16450;
662;132;1475522.29464;
663;120;1474014.48339;
664;131;1475176.77397;
665;124;1473191.19424;
666;130;1475539.05845;
667;114;1474052.66762;
668;113;1473211.68333;
669;131;1474170.01426;
670;135;1474617.04910;
671;139;1474681.31036;
672;130;1474191.43468;
673;127;1474748.36558;
674;148;1472206.78627;
675;135;1472998.41046;
676;118;1474906.69042;
677;135;1473710.87223;
678;131;1475432.88767;
679;138;1475016.58648;
680;124;1476242.20699;
681;128;1473899.93072;
682;130;1474101.09639;
683;121;1475096.68022;
684;133;1474237.06949;
685;111;1475692.72667;
686;133;1472486.18305;
687;117;1475322.06029;
688;132;1473392.35991;
689;128;1474134.62400;
690;110;1473102.71859;
691;126;1474386.08110;
692;112;1473606.56410;
693;145;1474222.16833;
694;124;1476182.60235;
695;121;1473239.62301;
696;147;1475658.26774;
697;116;1472664.99698;
698;125;1473058.94643;
699;134;1483080.90866;
700;127;1474368.38597;
701;134;1476740.46457;
702;132;1472845.67356;
