ID;HW;TIME;
0;245;2580373.54797;
1;263;2420573.49533;
2;263;1476231.96244;
3;252;1474381.42449;
4;244;1473281.53253;
5;252;1472218.89347;
6;257;1475703.90254;
7;272;1474894.58323;
8;260;1473183.74366;
9;247;1474267.80313;
10;254;1474549.06255;
11;276;1473057.08379;
12;258;1471972.09299;
13;251;1474021.93397;
14;264;1473018.89956;
15;243;1474776.30526;
16;274;1477992.16211;
17;255;1476002.85709;
18;259;1473449.17059;
19;259;1473172.56778;
20;264;1475479.45380;
21;265;1473963.26065;
22;237;1475148.83429;
23;240;1472203.06098;
24;262;1475227.06538;
25;260;1474049.87365;
26;257;1473298.29633;
27;254;1475933.00790;
28;266;1475977.71138;
29;267;1475180.49926;
30;251;1475170.25471;
31;272;1475670.37493;
32;272;1473844.98268;
33;254;1476559.78799;
34;259;1473319.71675;
35;252;1473372.80214;
36;241;1474406.57020;
37;241;1474616.11778;
38;263;1474753.02219;
39;257;1473837.53210;
40;254;1473023.55617;
41;269;1472549.51298;
42;253;1475065.01526;
43;279;1475957.22228;
44;268;1474864.78090;
45;249;1478587.27723;
46;246;1474790.27510;
47;255;1474112.27226;
48;278;1472618.43085;
49;256;1473807.72978;
50;250;1473610.28939;
51;241;1523543.14923;
52;255;1476349.30909;
53;255;1473614.01469;
54;278;1473527.40169;
55;261;1474788.41245;
56;252;1473056.15246;
57;244;1474438.23516;
58;252;1476689.24183;
59;251;1474895.51455;
60;242;1476198.43483;
61;274;1474309.71265;
62;274;1474007.03281;
63;255;1477426.84931;
64;255;1477017.06737;
65;252;1474350.69084;
66;248;1476345.58380;
67;257;1475291.32664;
68;243;1474864.78090;
69;266;1475192.60645;
70;229;1481152.13960;
71;250;1475309.02177;
72;249;1475973.05477;
73;247;1476207.74806;
74;259;1475669.44361;
75;264;1474037.76646;
76;270;1473639.16039;
77;269;1472339.96540;
78;264;1476291.56709;
79;240;1473035.66337;
80;250;1475271.76887;
81;270;1474322.75116;
82;247;1474354.41613;
83;249;1471938.56537;
84;258;1473450.10191;
85;271;1476847.56666;
86;259;1477088.77921;
87;249;1475196.33174;
88;242;1474301.33075;
89;272;1472316.68234;
90;242;1474069.43142;
91;250;1475611.70161;
92;261;1483291.38756;
93;242;1475512.98141;
94;251;1474617.04910;
95;244;1472305.50647;
96;268;1472746.02205;
97;258;1475423.57445;
98;259;1474672.92845;
99;253;1475318.33500;
100;254;1474569.55165;
101;249;1474135.55533;
102;266;1475336.96145;
103;250;1474457.79294;
104;238;1473484.56085;
105;271;1474510.87832;
106;254;1473834.73814;
107;260;1475874.33457;
108;265;1476133.24225;
109;244;1474706.45607;
110;267;1473627.98452;
111;237;1471533.44005;
112;258;1473847.77665;
113;269;1476417.29563;
114;246;1476943.49289;
115;238;1477700.65814;
116;256;1473478.97291;
117;253;1472521.57331;
118;264;1474797.72568;
119;235;1472922.04201;
120;234;1475337.89277;
121;264;1475861.29606;
122;265;1474291.08620;
123;263;1475756.98793;
124;261;1475716.00974;
125;252;1473242.41698;
126;253;1472694.79930;
127;254;1477099.02376;
128;247;1475104.13080;
129;259;1483727.24652;
130;262;1474518.32891;
131;267;1473234.03507;
132;249;1472502.94685;
133;280;1475056.63335;
134;260;1473990.26901;
135;257;1476219.85525;
136;249;1474333.92704;
137;253;1473492.94275;
138;257;1473191.19424;
139;250;1473138.10885;
140;265;1473604.70146;
141;256;1472391.18814;
142;243;1475707.62783;
143;272;1494642.34710;
144;251;1474756.74748;
145;258;1473436.13207;
146;221;1475330.44219;
147;253;1473662.44346;
148;259;1475543.71506;
149;273;1474450.34236;
150;266;1474245.45139;
151;247;1472671.51624;
152;254;1474425.19665;
153;253;1473866.40310;
154;257;1472710.63179;
155;261;1474256.62726;
156;249;1476711.59357;
157;259;1473302.95295;
158;252;1473171.63646;
159;263;1475364.90113;
160;257;1475610.77029;
161;265;1472314.81969;
162;267;1473541.37152;
163;268;1475894.82367;
164;254;1473926.93907;
165;244;1471316.44189;
166;270;1474469.90013;
167;262;1472814.93992;
168;250;1474713.90665;
169;275;1472290.60531;
170;253;1475370.48906;
171;253;1473932.52701;
172;250;1473280.60120;
173;274;1475593.07516;
174;255;1476738.60192;
175;262;1472885.72043;
176;268;1474492.25187;
177;276;1475803.55406;
178;242;1475134.86445;
179;252;1474029.38455;
180;274;1474065.70613;
181;250;1473297.36501;
182;273;1474539.74932;
183;243;1474686.89829;
184;261;1473348.58775;
185;248;1475838.94432;
186;247;1474340.44629;
187;245;1474501.56510;
188;282;1474600.28529;
189;257;1475187.94984;
190;240;1474739.05236;
191;245;1474977.47093;
192;254;1475925.55732;
193;236;1473018.89956;
194;256;1474148.59384;
195;239;1475375.14567;
196;249;1473238.69169;
197;278;1480324.19384;
198;273;1475911.58748;
199;243;1474439.16649;
200;241;1473972.57388;
201;242;1474322.75116;
202;263;1476091.33273;
203;260;1473922.28246;
204;265;1474913.20968;
205;269;1474222.16833;
206;250;1477222.88966;
207;246;1474799.58832;
208;264;1474044.28571;
209;239;1475105.99345;
210;256;1474134.62400;
211;237;1472758.12924;
212;271;1474608.66719;
213;249;1474676.65374;
214;255;1474447.54839;
215;254;1475100.40551;
216;256;1474955.11919;
217;256;1472758.12924;
218;261;1473731.36133;
219;248;1482443.88402;
220;262;1475605.18235;
221;265;1476394.01257;
222;264;1475373.28303;
223;256;1472702.24988;
224;252;1474065.70613;
225;253;1474355.34745;
226;238;1474850.81106;
227;268;1475410.53593;
228;248;1477046.86970;
229;251;1472863.36869;
230;252;1473034.73204;
231;268;1473908.31262;
232;260;1475838.01299;
233;250;1474189.57204;
234;255;1474132.76136;
235;269;1474398.18829;
236;259;1475214.02687;
237;259;1472879.20117;
238;250;1473769.54556;
239;255;1473135.31488;
240;258;1474338.58365;
241;273;1476082.01951;
242;231;1474624.49968;
243;243;1473700.62768;
244;268;1474524.84816;
245;255;1472976.99004;
246;259;1472503.87818;
247;273;1473672.68801;
248;266;1474717.63194;
249;267;1474353.48481;
250;274;1471774.65260;
251;234;1473585.14369;
252;254;1472291.53663;
253;257;1473177.22440;
254;259;1474718.56326;
255;267;1474767.92336;
256;265;1480910.92706;
257;260;1475074.32848;
258;256;1474297.60545;
259;256;1476149.07473;
260;247;1473424.02488;
261;256;1475431.02503;
262;252;1474952.32522;
263;254;1475262.45564;
264;250;1473383.04669;
265;250;1474668.27184;
266;261;1475046.38880;
267;260;1473525.53904;
268;254;1477052.45763;
269;245;1476461.06780;
270;268;1475106.92477;
271;231;1474804.24494;
272;248;1474720.42590;
273;256;1472670.58492;
274;259;1475314.60971;
275;267;1476082.01951;
276;266;1481069.25189;
277;258;1476020.55222;
278;271;1472946.25640;
279;248;1472978.85269;
280;248;1475257.79903;
281;247;1476324.16338;
282;246;1497414.89440;
283;259;1474372.11126;
284;249;1474589.10942;
285;262;1473170.70514;
286;257;1473288.98311;
287;264;1473645.67965;
288;238;1476232.89376;
289;267;1475649.88583;
290;247;1475026.83103;
291;250;1474375.83655;
292;245;1476348.37776;
293;250;1476960.25670;
294;262;1472959.29492;
295;258;1474051.73630;
296;251;1474548.13123;
297;265;1475149.76561;
298;260;1473414.71165;
299;274;1474993.30342;
300;255;1472658.47772;
301;278;1472508.53479;
302;241;1482306.97960;
303;254;1477410.08550;
304;250;1474233.34420;
305;259;1474402.84491;
306;250;1474009.82678;
307;252;1473002.13575;
308;250;1475040.80087;
309;264;1473101.78727;
310;253;1476150.00606;
311;258;1478298.56724;
312;244;1474569.55165;
313;246;1473152.07869;
314;239;1474612.39249;
315;232;1472140.66237;
316;249;1475294.12061;
317;263;1477646.64143;
318;262;1475977.71138;
319;264;1475933.00790;
320;249;1473856.15855;
321;281;1476052.21719;
322;254;1475387.25287;
323;245;1474552.78784;
324;254;1475173.98000;
325;238;1475247.55448;
326;225;1473486.42349;
327;250;1476163.97589;
328;252;1473398.87917;
329;240;1473316.92278;
330;256;1472171.39602;
331;256;1476201.22880;
332;246;1473303.88427;
333;250;1474808.90155;
334;258;1474658.02729;
335;247;1473250.79888;
336;246;1475305.29648;
337;238;1475394.70345;
338;258;1474230.55023;
339;239;1474539.74932;
340;275;1476757.22837;
341;269;1474361.86671;
342;266;1473631.70981;
343;251;1473163.25456;
344;250;1473015.17427;
345;242;1472916.45408;
346;243;1475808.21067;
347;245;1474559.30710;
348;264;1473646.61098;
349;245;1474708.31871;
350;264;1474953.25655;
351;251;1473894.34278;
352;258;1475507.39348;
353;255;1476596.10957;
354;257;1475285.73871;
355;251;1474717.63194;
356;261;1474871.30016;
357;260;1475625.67145;
358;244;1475104.13080;
359;265;1474437.30384;
360;258;1478197.05307;
361;247;1477113.92492;
362;259;1474294.81149;
363;262;1474294.81149;
364;250;1474704.59342;
365;263;1476364.21025;
366;271;1472842.87959;
367;243;1476760.02234;
368;253;1476026.14015;
369;255;1473502.25598;
370;256;1481105.57348;
371;261;1473085.95479;
372;266;1472938.80582;
373;246;1472273.84150;
374;251;1474513.67229;
375;274;1474966.29506;
376;263;1473734.15530;
377;252;1472991.89121;
378;258;1474411.22681;
379;265;1474656.16465;
380;242;1473265.70004;
381;271;1475593.07516;
382;247;1476702.28034;
383;264;1471695.49018;
384;250;1474807.03890;
385;271;1474131.83004;
386;278;1473615.87733;
387;255;1474780.96187;
388;274;1473707.14694;
389;263;1478666.43965;
390;286;1474210.99246;
391;247;1471813.76815;
392;258;1480024.30797;
393;243;1473728.56736;
394;265;1473633.57246;
395;253;1477614.97647;
396;265;1474689.69226;
397;258;1474383.28713;
398;269;1475544.64638;
399;254;1472542.06240;
400;246;1473118.55108;
401;247;1473892.48013;
402;282;1475444.06354;
403;263;1475697.38328;
404;252;1476313.91883;
405;255;1473185.60630;
406;253;1475446.85751;
407;254;1476001.92577;
408;246;1474332.06439;
409;259;1474954.18787;
410;265;1476936.97363;
411;257;1474454.99897;
412;251;1475511.11877;
413;278;1474812.62684;
414;250;1472561.62018;
415;268;1472642.64524;
416;262;1475958.15361;
417;284;1476071.77496;
418;241;1473935.32097;
419;245;1473330.89262;
420;253;1473953.94742;
421;256;1475094.81758;
422;256;1474342.30894;
423;255;1475345.34335;
424;260;1475196.33174;
425;256;1474133.69268;
426;261;1473941.84023;
427;245;1474929.04216;
428;250;1473874.78501;
429;250;1482276.24595;
430;261;1474396.32565;
431;253;1473957.67272;
432;261;1475427.29974;
433;276;1473784.44672;
434;246;1473842.18872;
435;257;1473694.10843;
436;226;1474501.56510;
437;249;1477021.72399;
438;249;1474952.32522;
439;248;1476028.00280;
440;261;1475625.67145;
441;263;1473720.18546;
442;249;1472384.66889;
443;256;1476171.42648;
444;255;1474623.56836;
445;254;1476398.66918;
446;244;1475917.17541;
447;254;1473409.12372;
448;263;1476639.88173;
449;255;1473417.50562;
450;255;1473185.60630;
451;236;1475624.74012;
452;290;1474929.97348;
453;253;1473884.09823;
454;256;1473884.09823;
455;250;1473629.84717;
456;253;1473844.05136;
457;241;1473618.67130;
458;260;1475785.85893;
459;281;1476878.30031;
460;255;1473743.46852;
461;267;1472320.40763;
462;237;1474512.74097;
463;254;1473343.93114;
464;264;1472521.57331;
465;248;1476381.90538;
466;263;1475317.40367;
467;254;1474563.03239;
468;253;1472407.95195;
469;262;1475433.81900;
470;271;1473112.96314;
471;268;1473284.32649;
472;249;1474386.08110;
473;259;1475983.29931;
474;255;1474916.00364;
475;266;1474738.12103;
476;264;1474404.70755;
477;259;1472901.55292;
478;253;1475412.39858;
479;265;1474869.43752;
480;260;1474819.14610;
481;251;1479097.64200;
482;257;1472679.89814;
483;277;1473867.33443;
484;243;1475005.41061;
485;247;1476483.41954;
486;278;1476928.59173;
487;256;1477120.44418;
488;242;1474971.88300;
489;259;1474180.25881;
490;276;1475669.44361;
491;255;1477358.86276;
492;253;1473585.14369;
493;252;1479949.80216;
494;237;1472378.14963;
495;273;1477091.57318;
496;257;1473626.12188;
497;258;1481380.31363;
498;249;1473630.77849;
499;253;1473260.11211;
500;247;1474833.11594;
501;260;1498199.06801;
502;251;1483138.65066;
503;267;1475314.60971;
504;244;1474706.45607;
505;270;1474900.17116;
506;270;1474636.60687;
507;250;1476616.59867;
508;272;1476353.96570;
509;245;1473257.31814;
510;271;1473659.64949;
511;253;1474157.90707;
512;277;1473502.25598;
513;269;1474312.50662;
514;267;1475337.89277;
515;253;1474631.01894;
516;256;1475498.08025;
517;257;1474614.25513;
518;267;1473406.32975;
519;258;1481108.36744;
520;256;1474596.56000;
521;265;1476670.61538;
522;247;1476215.19864;
523;260;1477258.27992;
524;258;1474746.50294;
525;259;1475080.84774;
526;257;1475245.69184;
527;241;1473287.12046;
528;258;1473831.94417;
529;243;1476176.08309;
530;268;1476229.16847;
531;262;1472131.34915;
532;262;1472200.26702;
533;264;1472899.69027;
534;257;1473796.55391;
535;275;1476432.19680;
536;264;1473800.27920;
537;248;1474419.60871;
538;261;1473946.49684;
539;265;1472820.52785;
540;260;1473207.02672;
541;267;1474336.72100;
542;254;1474945.80597;
543;238;1475382.59625;
544;262;1473398.87917;
545;241;1475056.63335;
546;255;1474501.56510;
547;254;1473313.19749;
548;263;1475394.70345;
549;273;1475753.26264;
550;243;1474291.08620;
551;240;1475426.36842;
552;240;1474329.27042;
553;254;1472495.49627;
554;277;1472444.27353;
555;252;1474914.14100;
556;261;1480786.12983;
557;261;1475202.85100;
558;279;1475501.80554;
559;266;1473596.31956;
560;249;1474036.83513;
561;254;1474431.71591;
562;262;1473553.47872;
563;274;1474029.38455;
564;260;1474384.21845;
565;263;1475054.77071;
566;254;1475809.14199;
567;244;1473041.25130;
568;242;1473240.55433;
569;262;1473093.40537;
570;246;1474284.56694;
571;277;1477889.71663;
572;244;1474955.11919;
573;265;1474137.41797;
574;260;1477147.45253;
575;247;1472302.71250;
576;249;1471928.32083;
577;256;1476618.46131;
578;242;1481277.86815;
579;261;1476441.51002;
580;264;1472137.86840;
581;250;1474367.45465;
582;245;1473331.82395;
583;279;1471985.13150;
584;254;1476639.88173;
585;247;1475373.28303;
586;249;1476080.15686;
587;260;1473539.50888;
588;246;1474858.26164;
589;255;1474637.53819;
590;268;1476028.00280;
591;254;1472556.96356;
592;278;1476495.52673;
593;242;1473977.23049;
594;253;1476286.91047;
595;277;1472780.48098;
596;255;1473511.56920;
597;231;1473837.53210;
598;243;1477495.76718;
599;265;1475458.96471;
600;254;1476512.29054;
601;260;1473838.46343;
602;250;1474479.21336;
603;253;1475520.43200;
604;233;1472111.79137;
605;265;1475810.07332;
606;259;1476060.59909;
607;259;1476665.95876;
608;262;1475317.40367;
609;254;1474820.07742;
610;252;1473277.80724;
611;230;1473844.05136;
612;259;1474209.12981;
613;266;1476001.92577;
614;262;1475196.33174;
615;248;1472006.55192;
616;273;1475967.46683;
617;271;1472871.75059;
618;269;1474362.79804;
619;252;1473880.37294;
620;251;1474238.93213;
621;254;1477050.59499;
622;246;1474014.48339;
623;253;1470863.81912;
624;279;1475687.13874;
625;248;1473559.06665;
626;262;1473850.57062;
627;260;1475185.15587;
628;228;1474930.90481;
629;246;1473829.15020;
630;243;1474350.69084;
631;276;1474118.79152;
632;267;1474642.19481;
633;261;1474470.83145;
634;241;1475562.34151;
635;249;1477386.80243;
636;257;1474595.62868;
637;263;1474389.80639;
638;267;1472901.55292;
639;239;1476805.65715;
640;246;1472870.81927;
641;246;1474356.27878;
642;251;1477010.54811;
643;263;1473562.79194;
644;259;1474041.49175;
645;231;1476559.78799;
646;258;1477601.00663;
647;249;1474021.00265;
648;269;1477291.80753;
649;267;1475519.50067;
650;246;1475075.25980;
651;257;1473773.27085;
652;258;1473843.12004;
653;262;1474657.09597;
654;248;1473509.70656;
655;247;1474441.96045;
656;272;1478399.15007;
657;248;1474098.30242;
658;262;1476142.55548;
659;273;1472502.01553;
660;255;1472527.16124;
661;267;1472865.23134;
662;249;1474511.80965;
663;245;1476042.90396;
664;244;1477067.35879;
665;258;1475036.14426;
666;260;1473342.99982;
667;262;1475800.76009;
