ID;HW;TIME;
0;1001;13365313.87642;
1;1060;13136652.76393;
2;1034;13263253.02944;
3;1038;13240830.04147;
4;1048;13117630.03469;
5;1082;13223223.85386;
6;1040;13175980.18795;
7;1083;13218827.07998;
8;1007;13141195.75545;
9;1031;13131788.93179;
10;1039;13121149.96836;
11;1046;13120605.14465;
12;1003;13258899.09640;
13;1074;13123407.02862;
14;1046;13163134.92134;
15;1019;13220570.05018;
16;1023;13157325.33112;
17;1026;13177325.94907;
18;1048;13182745.31513;
19;1050;13181875.92551;
20;1057;13123271.05552;
21;1018;13196425.97809;
22;1028;13181769.75474;
23;1038;13142471.20172;
24;1036;13124846.85332;
25;1000;13152979.77999;
26;1011;13119529.00141;
27;1043;13200805.98816;
28;1053;13119668.23414;
29;1025;13138854.87616;
30;1043;13122302.01438;
31;1019;13158726.97160;
32;1011;13381931.93078;
33;1029;13382694.21831;
34;1021;13142029.75482;
35;1027;13180700.59642;
36;1030;13224729.80246;
37;1010;13216501.10185;
38;1033;13159246.18393;
39;991;13215732.76073;
40;1068;13120975.34537;
41;1036;13239751.56993;
42;997;13242572.08034;
43;1036;13158474.11752;
44;1001;13181209.09855;
45;1027;13282230.58954;
46;1037;13150841.92902;
47;1019;13179089.87403;
48;993;13125962.11210;
49;1027;13169672.80582;
50;1034;13137052.76698;
51;1033;13169426.93666;
52;974;13224918.39528;
53;1017;13181779.99929;
54;1016;13120039.83185;
55;1067;13655124.69783;
56;1038;13266592.28653;
57;1036;13208232.82003;
58;1056;13210889.88334;
59;1023;13207343.87264;
60;1016;13232504.01765;
61;1045;13252345.84510;
62;1038;13417500.07123;
63;1027;13493193.77914;
64;1013;13230054.17362;
65;996;13235554.09908;
66;1030;13286523.98661;
67;1046;13286030.85130;
68;1040;13333947.86343;
69;992;13126335.10679;
70;1052;13303498.73751;
71;1054;13648916.03589;
72;1028;13203355.94937;
73;1036;13259878.84775;
74;1042;13131482.99232;
75;998;13120516.66901;
76;1024;13198294.67684;
77;1002;13200412.97004;
78;998;13119770.21396;
79;1026;13122247.99767;
80;1022;13124029.15210;
81;1017;13160824.31003;
82;1009;13123550.91795;
83;963;13224645.98343;
84;1003;13139618.09501;
85;1009;13204873.07385;
86;1009;13121889.90414;
87;1017;13122493.86683;
88;1060;13201555.23717;
89;1016;13137661.85194;
90;999;13118783.94336;
91;1036;13121293.85769;
92;1017;13184435.19995;
93;1040;13124414.25398;
94;1018;13176658.19079;
95;1034;13122675.00907;
96;1058;13220116.96175;
97;1048;13119807.00120;
98;1011;13205379.71333;
99;1014;13180152.97875;
100;1029;13162293.93706;
101;1044;13163044.11739;
102;1028;13162315.82314;
103;1024;13120932.03887;
104;1044;13121276.62823;
105;1025;13161104.63813;
106;1034;13117499.64952;
107;1002;13122403.99420;
108;1004;13139036.94972;
109;1043;13160132.80302;
110;1035;13162731.19301;
111;1021;13203276.78695;
112;1056;13182610.27336;
113;1023;13148932.25208;
114;1005;13185515.06847;
115;1047;13264218.34528;
116;1036;13121468.01502;
117;1025;13120570.68571;
118;1020;13124318.79342;
119;1033;13119541.10861;
120;1004;13157351.87382;
121;1048;13125840.10884;
122;996;13177915.01060;
123;1027;13126981.91032;
124;987;13124254.99782;
125;984;13178421.18442;
126;1017;13137400.61596;
127;1006;13121535.07024;
128;1017;13185592.83391;
129;1024;13121759.05332;
130;1025;13760101.98146;
131;1037;13203353.15540;
132;1062;13160732.10910;
133;1032;13121626.33985;
134;1072;13165477.19762;
135;1066;13122107.83362;
136;998;13119339.94293;
137;1054;13122776.98889;
138;997;13118514.32547;
139;1006;13212943.91528;
140;1019;13182924.59473;
141;1025;13134066.01548;
142;996;13121112.24979;
143;1014;13136940.07695;
144;1003;13122289.90719;
145;996;13200815.76705;
146;995;13164927.71730;
147;1054;13160299.97543;
148;1014;13122972.10097;
149;1003;13121444.73195;
150;1037;13184347.18996;
151;1018;13134466.01853;
152;1049;13158770.27810;
153;1055;13123245.90981;
154;1011;13160008.00580;
155;1039;13327430.00239;
156;1038;13120842.16624;
157;978;13120292.22026;
158;1053;13185594.69655;
159;1056;13154748.82722;
160;1061;13161072.97316;
161;1006;13203063.04842;
162;1030;13125990.98310;
163;1003;13180903.15908;
164;1025;13207692.65294;
165;999;13308611.23279;
166;1039;13121878.26261;
167;1024;13263835.10605;
168;1008;13141111.00510;
169;1008;13250965.15939;
170;1030;13202404.13770;
171;980;13220351.18937;
172;1009;13166910.03740;
173;1031;13198439.96316;
174;1015;13247131.83567;
175;1026;13226117.00743;
176;1013;13123473.15252;
177;995;13161290.43698;
178;995;13135589.65921;
179;1037;13140948.02365;
180;1059;13117989.05954;
181;1027;13122539.03598;
182;1013;13121932.74498;
183;1049;13274472.20683;
184;1061;13133822.00897;
185;1047;13119621.20235;
186;1034;13161026.87269;
187;1015;13315419.66647;
188;976;13127450.83123;
189;1005;13136617.83934;
190;1010;13124438.00271;
191;1032;13120247.98244;
192;991;13121903.87398;
193;1048;13200431.13083;
194;1034;13268660.28830;
195;1037;13222469.01691;
196;1018;13176058.41905;
197;1034;13220925.34974;
198;1047;13322012.96464;
199;1025;13174762.01802;
200;1066;13120837.97529;
201;1009;13119206.29814;
202;1034;13149738.31177;
203;1085;13308964.20404;
204;984;13120563.23513;
205;979;13161244.33652;
206;1012;13122207.01948;
207;1047;13178857.97471;
208;1056;13161721.17367;
209;1039;13119748.32788;
210;1001;13122528.79143;
211;1030;13122550.21185;
212;1024;13123091.77592;
213;1025;13181277.08510;
214;1009;13223105.11023;
215;1022;13162353.07604;
216;1026;13124813.79136;
217;1044;13125224.97028;
218;1011;13120761.14118;
219;1012;13469152.61820;
220;1052;13272946.70045;
221;1050;13239592.77943;
222;1047;13161963.78320;
223;1023;13203655.36958;
224;1024;13161664.82866;
225;1030;13149839.82593;
226;1012;13227621.09339;
227;960;13161287.17735;
228;1036;13122608.88517;
229;1035;13119229.11555;
230;1072;13160231.98888;
231;974;13122809.11952;
232;999;13490039.85524;
233;1044;13163180.09049;
234;1049;13122010.97608;
235;1043;13203884.94059;
236;1046;13260739.85547;
237;1031;13203012.29134;
238;1019;13162823.85960;
239;1022;13121406.08206;
240;1053;13151335.06432;
241;1002;13119668.23414;
242;998;13289390.59749;
243;1003;13121644.03498;
244;960;13454510.83034;
245;981;13120189.30912;
246;1022;13160903.00679;
247;1051;13121070.80594;
248;1011;13163489.75524;
249;991;13160622.21304;
250;1023;13231758.95959;
251;1050;13119935.98938;
252;1036;13160429.89492;
253;995;13199539.85512;
254;1050;13459366.28059;
255;988;13413464.18485;
256;1047;13289159.16383;
257;1021;13286548.66666;
258;1024;13342675.28728;
259;1010;13307502.95892;
260;1001;13585451.99037;
261;991;13253180.77579;
262;985;13261031.35943;
263;1024;13298279.14014;
264;1025;13338597.02572;
265;1054;13447233.94141;
266;1027;13382118.19530;
267;1036;13240433.29805;
268;1070;13402773.99868;
269;1026;13239745.05067;
270;990;13198198.28495;
271;1032;13216384.68653;
272;1022;13178545.05032;
273;1007;13128228.01992;
274;1028;13129756.32027;
275;1052;13167357.07223;
276;966;13430983.75946;
277;1042;13137577.10159;
278;1023;13157616.83509;
279;1052;13134789.18746;
280;1013;13201490.97592;
281;987;13203645.12503;
282;1011;13179067.05663;
283;1053;13150033.07536;
284;1070;13157434.76152;
285;1031;13164993.84120;
286;1020;13339795.17221;
287;1042;13138419.01720;
288;1011;13121937.40159;
289;1049;13119193.25963;
290;993;13121381.86768;
291;1009;13195898.84952;
292;992;13160645.96176;
293;989;13120236.80657;
294;1040;13163055.75892;
295;1033;13189163.05900;
296;1054;13275145.08739;
297;1037;13271669.39154;
298;1047;13343614.06043;
299;1035;13196173.12402;
300;1036;13124805.87512;
301;1001;13121423.77719;
302;1029;13656661.84574;
303;1050;13125257.10091;
304;1036;13245915.99405;
305;989;13238099.86934;
306;1055;13263559.43456;
307;1045;13138781.76734;
308;1037;13150765.09491;
309;1006;13123573.26970;
310;1002;13308357.91305;
311;1039;13128006.83081;
312;1014;13353304.93748;
313;1041;13207512.90768;
314;1015;13165520.03846;
315;1002;13144769.70583;
316;1026;13202784.11731;
317;1049;13141169.21276;
318;1074;13118919.91645;
319;1040;13465366.79193;
320;1009;13290321.92007;
321;1025;13224937.95305;
322;1011;13186848.25674;
323;1021;13153567.91019;
324;1006;13118629.80947;
325;1025;13177394.86694;
326;1014;13162839.22642;
327;1016;13241964.85803;
328;1010;13122615.87009;
329;1031;13299145.27014;
330;1036;13124157.67461;
331;1079;13258407.82374;
332;1016;13232997.15295;
333;1013;13217710.88988;
334;999;13221949.33891;
335;1027;13162061.10641;
336;1009;13164179.86527;
337;1014;13162465.76607;
338;989;13223409.18705;
339;1011;13199831.82475;
340;1009;13162884.86123;
341;1014;13180090.11447;
342;990;13316846.91831;
343;1086;13178134.80273;
344;970;13229202.94479;
345;1011;13119754.84714;
346;1028;13163326.77379;
347;1017;13241227.71621;
348;1020;13119198.84756;
349;1024;13179730.62396;
350;1034;13194289.98977;
351;1020;13158273.41750;
352;1025;13249354.90265;
353;1011;13588271.10380;
354;1036;13267266.09841;
355;993;13206511.73592;
356;990;13241400.94221;
357;1040;13125029.85820;
358;1031;13186420.77968;
359;1035;13201323.80351;
360;1059;13273332.26800;
361;1004;13118334.58021;
362;994;13226185.92530;
363;1062;13160549.10421;
364;1032;13140643.94683;
365;1046;13119208.16079;
366;981;13244892.93620;
367;1053;13204277.02740;
368;1052;13137030.88090;
369;1004;13124784.92036;
370;1049;13164267.87525;
371;1024;13124226.12682;
372;1004;13141002.97168;
373;1026;13141199.94640;
374;1024;13122807.25688;
375;1032;13162564.95193;
376;1048;13246570.24816;
377;1031;13158374.93166;
378;1032;13118954.37539;
