ID;HW;LENGTH;TIME;
0;712;173;13208472.16994;
1;299;73;13190766.79647;
2;38;11;13164933.30523;
3;319;82;13146184.85048;
4;669;169;13189326.97177;
5;205;54;14359849.97079;
6;154;39;13295495.41697;
7;469;113;13174776.91919;
8;352;90;13260073.95983;
9;621;153;13192352.83881;
10;345;89;13194916.76986;
11;99;24;13172097.96980;
12;330;83;13253957.96448;
13;623;146;13174307.06695;
14;469;114;13174102.17598;
15;57;17;13173812.06900;
16;682;174;13145054.22488;
17;45;10;13191672.04201;
18;304;73;13327819.29523;
19;297;72;13192337.93765;
20;233;57;13256006.87414;
21;318;80;13184279.66908;
22;255;62;13168776.40784;
23;123;29;13173558.28360;
24;267;66;13145155.27338;
25;261;69;13149631.20967;
26;367;90;13174288.90616;
27;403;105;13222362.84614;
28;491;128;13131136.07466;
29;579;153;13133049.01123;
30;688;174;13144095.89395;
31;318;81;13130667.15375;
32;0;0;13129039.20189;
33;351;89;13220500.20099;
34;327;82;13372558.63473;
35;596;146;13138984.79566;
36;580;144;13143086.80594;
37;603;150;13141016.01020;
38;363;93;13136753.34677;
39;324;82;13145554.81076;
40;214;52;13132263.90630;
41;614;152;13158969.11547;
42;128;35;13242978.60265;
43;373;99;13142665.84814;
44;43;12;13143561.78045;
45;679;168;13142666.77946;
46;322;80;13208515.94210;
47;12;3;13141444.88424;
48;661;160;13133622.70594;
49;740;188;13207776.00631;
50;744;187;13130308.12889;
51;112;27;13172021.13569;
52;108;28;13230843.93516;
53;221;55;13194272.76030;
54;327;79;13184562.79114;
55;696;174;13200796.20928;
56;481;118;13209227.00688;
57;260;69;13184932.06054;
58;425;110;13153849.16961;
59;492;127;13171975.96654;
60;441;105;13182138.09282;
61;158;41;13188411.94734;
62;475;114;13169179.20485;
63;566;131;13177418.15001;
64;0;0;13227823.19039;
65;348;88;13170326.12860;
66;290;73;13187093.19457;
67;672;176;13182824.94321;
68;180;46;13200749.17749;
69;131;34;13249984.01105;
70;65;19;13229392.00327;
71;236;59;13274886.17972;
72;91;24;13176606.03672;
73;545;142;13341309.03706;
74;706;176;13222902.08191;
75;41;11;13206799.04893;
76;107;25;13200598.30323;
77;199;52;13286117.92997;
78;673;168;14418094.41894;
79;212;56;13216105.28976;
80;72;20;13133428.99084;
81;4;1;13141645.11859;
82;372;98;13222560.75218;
83;90;21;13155004.94093;
84;470;116;13174209.74374;
85;665;175;13142616.02238;
86;439;107;13225765.89882;
87;60;16;13146867.97559;
88;242;61;13151220.97731;
89;466;115;13154475.94970;
90;498;130;13187091.79759;
91;438;104;13159298.80366;
92;324;79;13166224.58398;
93;305;77;13204291.92856;
94;265;62;13155777.93866;
95;746;182;13152339.96138;
96;48;12;13214485.25414;
97;500;131;13147166.93014;
98;26;8;13152287.80732;
99;164;41;13237149.92031;
100;339;84;13171975.03522;
101;609;153;13277960.94120;
102;420;105;13214614.24232;
103;632;161;13225796.63247;
104;260;65;13229046.01693;
105;167;44;13226639.94506;
106;93;25;13293061.87108;
107;684;175;13372660.61455;
108;190;48;13248536.73577;
109;52;14;13187426.14239;
110;582;150;13172282.37167;
111;634;159;13182617.25828;
112;634;162;13190126.04654;
113;415;103;13147978.11210;
114;634;156;13237101.02588;
115;438;109;13245968.14811;
116;365;93;13170049.99146;
117;218;50;13187540.22941;
118;772;186;13171500.06071;
119;263;68;13165988.02805;
120;766;186;13218328.35674;
121;503;124;13272182.08462;
122;717;181;13251584.95456;
123;435;105;13247136.95794;
124;153;36;13222549.11065;
125;627;156;13229716.10352;
126;529;134;13186218.21702;
127;438;110;13184098.99250;
128;192;50;13173294.25365;
129;536;129;13186985.62682;
130;161;42;13263177.59231;
131;390;93;13132933.06157;
132;361;87;13169732.87612;
133;423;108;13185006.10068;
134;738;181;13167036.69727;
135;430;109;13194012.92130;
136;666;157;13263973.87311;
137;244;63;13543854.00191;
138;310;77;13196536.80548;
139;661;175;13207395.09538;
140;222;56;13173900.07898;
