ID;HW;TIME
0;131;1477634.53424 ns;
1;131;1483520.49291 ns;
2;128;1476323.23205 ns;
3;111;1483613.62517 ns;
4;138;1476696.69241 ns;
5;130;1474323.68249 ns;
6;142;1479604.28149 ns;
7;144;1495353.87754 ns;
8;138;1478783.78630 ns;
9;121;1495275.64645 ns;
10;122;1479070.63365 ns;
11;128;1511341.89218 ns;
12;137;1483234.57688 ns;
13;134;1474721.35723 ns;
14;127;1475135.79577 ns;
15;125;1479156.31533 ns;
16;136;1475770.95777 ns;
17;125;1481845.97492 ns;
18;137;1475436.61296 ns;
19;117;1480829.90199 ns;
20;129;1475781.20232 ns;
21;126;1475356.51922 ns;
22;117;1475321.12896 ns;
23;133;1498349.01094 ns;
24;125;1517789.43837 ns;
25;117;1514792.44232 ns;
26;140;1479793.33997 ns;
27;131;1476908.10263 ns;
28;121;1479309.98355 ns;
29;121;1496178.09802 ns;
30;131;1474487.59526 ns;
31;119;1473376.52743 ns;
32;140;1474296.67413 ns;
33;120;1498526.89356 ns;
34;129;1475395.63477 ns;
35;131;1481453.88812 ns;
36;141;1476417.29563 ns;
37;121;1518349.16323 ns;
38;136;1511690.20683 ns;
39;131;1519427.63478 ns;
40;117;1474584.45281 ns;
41;121;1475176.77397 ns;
42;136;1560817.47264 ns;
43;138;1476242.20699 ns;
44;123;1479654.57290 ns;
45;147;1493196.93446 ns;
46;122;1479674.13068 ns;
47;128;1474959.77581 ns;
48;118;1538057.81156 ns;
49;126;1474775.37394 ns;
50;114;1474317.16323 ns;
51;144;1474894.58323 ns;
52;136;1475012.86119 ns;
53;135;1479159.10929 ns;
54;132;1476496.45805 ns;
55;132;1478808.00068 ns;
56;133;1473692.24578 ns;
57;122;1490145.92171 ns;
58;135;1534649.17094 ns;
59;130;1518676.05746 ns;
60;128;1476117.40977 ns;
61;129;1494147.81481 ns;
62;143;1475020.31177 ns;
63;132;1475879.92251 ns;
64;127;1477863.63959 ns;
65;128;1475992.61254 ns;
66;136;1481059.00735 ns;
67;127;1476679.92860 ns;
68;135;1479838.04345 ns;
69;133;1475815.66125 ns;
70;124;1514491.62513 ns;
71;138;1478421.50182 ns;
72;139;1512650.40040 ns;
73;124;1480903.47648 ns;
74;139;1475955.35964 ns;
75;130;1479053.86984 ns;
76;131;1486654.39337 ns;
77;119;1520269.55038 ns;
78;120;1474625.43100 ns;
79;114;1475284.80738 ns;
80;132;1474974.67697 ns;
81;122;1475275.49416 ns;
82;127;1479419.87962 ns;
83;122;1546152.86738 ns;
84;117;1501790.24786 ns;
85;120;1474647.78274 ns;
86;117;1480412.66948 ns;
87;121;1475539.98977 ns;
88;134;1480272.97109 ns;
89;145;1493746.41478 ns;
90;132;1476729.28870 ns;
91;122;1499488.01845 ns;
