ID;HW;TIME
0;245;1546413.63770 ns;
1;263;1532303.16937 ns;
2;263;1525914.29651 ns;
3;252;1532212.83108 ns;
4;244;1557893.11975 ns;
5;252;1538891.34526 ns;
6;257;1473624.25923 ns;
7;272;1472143.45634 ns;
8;260;1483610.83120 ns;
9;247;1517371.27453 ns;
10;254;1543244.34698 ns;
11;276;1552867.70314 ns;
12;258;1566715.53850 ns;
13;251;1519380.13732 ns;
14;264;1525896.60138 ns;
15;243;1520017.16197 ns;
16;274;1531017.94422 ns;
17;255;1527675.42750 ns;
18;259;1534263.60339 ns;
19;259;1488744.28123 ns;
20;264;1474111.34094 ns;
21;265;1490108.66880 ns;
22;237;1479860.39519 ns;
23;240;1525804.40044 ns;
24;262;1536638.47595 ns;
25;260;1528325.49065 ns;
26;257;1531043.08993 ns;
27;254;1527269.37085 ns;
28;266;1523092.38911 ns;
29;267;1515142.61961 ns;
30;251;1517818.30937 ns;
31;272;1525185.07093 ns;
32;272;1516968.01186 ns;
33;254;1491480.50696 ns;
34;259;1488901.67475 ns;
35;252;1474819.14610 ns;
36;241;1473017.96824 ns;
37;241;1511946.32053 ns;
38;263;1522695.64569 ns;
39;257;1494830.47426 ns;
40;254;1481886.95312 ns;
41;269;1528303.13891 ns;
42;253;1512391.49272 ns;
43;279;1514627.59823 ns;
44;268;1515069.04513 ns;
45;249;1520542.42790 ns;
46;246;1529430.03923 ns;
47;255;1515485.34632 ns;
48;278;1516095.36260 ns;
49;256;1513409.42830 ns;
50;250;1530362.29312 ns;
51;241;1540403.81312 ns;
52;255;1528349.70504 ns;
53;255;1474215.64907 ns;
54;278;1484506.76352 ns;
55;261;1471988.85679 ns;
56;252;1514384.52303 ns;
57;244;1558520.83117 ns;
58;252;1522053.96444 ns;
59;251;1515519.80525 ns;
60;242;1515747.04796 ns;
61;274;1514979.63816 ns;
62;274;1521195.28502 ns;
63;255;1520503.31235 ns;
64;255;1516275.10786 ns;
65;252;1525558.53128 ns;
66;248;1518275.58875 ns;
67;257;1472980.71533 ns;
68;243;1480448.05974 ns;
69;266;1480557.02448 ns;
70;229;1518321.22356 ns;
71;250;1515527.25583 ns;
