ID;HW;TIME
0;753;13223960.99567 ns;
1;787;13182668.01536 ns;
2;757;13144819.06593 ns;
3;751;13188019.86054 ns;
4;778;13224028.98222 ns;
5;768;13184369.07604 ns;
6;759;13146213.25582 ns;
7;787;13342400.08146 ns;
8;746;13146997.42943 ns;
9;781;13145294.97176 ns;
10;749;13184718.32201 ns;
11;777;13167915.86578 ns;
12;769;13189837.80220 ns;
13;775;13142140.58220 ns;
14;739;13227888.84863 ns;
15;790;13186927.88482 ns;
16;752;13222950.04502 ns;
17;763;13150174.63639 ns;
18;766;13222365.17444 ns;
19;755;13188874.34900 ns;
20;732;13222869.95128 ns;
21;769;13426532.96888 ns;
22;753;13223530.25898 ns;
23;721;13141721.95271 ns;
24;727;13290359.17297 ns;
25;738;13208749.70406 ns;
26;752;13309791.21849 ns;
27;763;13246437.06903 ns;
28;793;13265992.98045 ns;
29;716;13267349.91744 ns;
30;729;13265450.01939 ns;
31;760;13250572.14126 ns;
32;759;13300349.93589 ns;
33;786;13185365.12554 ns;
34;778;13166317.25058 ns;
35;797;13191038.27700 ns;
36;743;13165426.90620 ns;
37;743;13145905.91937 ns;
38;759;13185712.04320 ns;
39;729;13182559.05062 ns;
40;759;13362561.35255 ns;
41;758;13259842.06051 ns;
42;761;13146130.83377 ns;
43;769;13305253.34924 ns;
44;729;13232375.02947 ns;
45;750;13292757.79426 ns;
46;790;13246097.13629 ns;
47;776;13409923.29642 ns;
48;755;13377541.21050 ns;
49;778;13306062.20290 ns;
50;764;13295084.23805 ns;
51;757;13238929.21209 ns;
52;733;13291958.71949 ns;
53;802;13269610.70299 ns;
54;738;13285550.28886 ns;
55;793;15967849.17638 ns;
56;747;13237167.61544 ns;
57;768;13219859.91672 ns;
58;728;13290234.84141 ns;
59;768;13631836.97686 ns;
60;762;13225791.04453 ns;
61;751;13312238.73422 ns;
62;771;13143718.70831 ns;
63;741;13456760.90568 ns;
64;766;13326882.85038 ns;
65;744;13187896.92596 ns;
66;730;13143165.96836 ns;
67;751;13221203.81519 ns;
68;736;13191394.04222 ns;
69;751;13213586.99352 ns;
70;764;13158335.81612 ns;
71;796;13158536.98179 ns;
72;760;13297396.24634 ns;
73;736;13166743.33066 ns;
74;751;13188821.72927 ns;
75;801;13187691.10367 ns;
76;760;13248458.97034 ns;
77;762;13142720.33051 ns;
78;752;13148366.93928 ns;
79;739;13182755.09402 ns;
80;733;13203716.83687 ns;
81;757;13141392.73018 ns;
82;749;13268269.13282 ns;
83;771;13158409.39060 ns;
84;755;13192117.67986 ns;
85;741;13146685.90203 ns;
86;751;13294467.70251 ns;
87;763;13144616.03761 ns;
88;757;13146843.76121 ns;
89;751;13144573.66243 ns;
90;769;13212164.86394 ns;
91;736;13186451.97898 ns;
92;759;13130187.05696 ns;
93;747;13142898.21312 ns;
94;772;13174117.07714 ns;
95;745;13143321.03357 ns;
96;750;13158965.85584 ns;
97;745;13344403.82197 ns;
98;781;13190912.08279 ns;
99;757;13187751.17397 ns;
100;741;13217862.22979 ns;
101;797;13409428.76413 ns;
102;777;13160577.97521 ns;
103;760;13188746.75781 ns;
104;766;13208917.80779 ns;
105;802;13144999.27685 ns;
106;794;13244986.06846 ns;
107;748;13203289.82547 ns;
108;737;13150099.66493 ns;
109;771;13146745.04101 ns;
110;747;13281804.97512 ns;
111;752;13147308.02551 ns;
112;753;13145654.92794 ns;
113;776;13223841.32072 ns;
114;737;13141989.24229 ns;
115;771;13204182.03250 ns;
116;805;13190556.78323 ns;
117;740;13148629.10658 ns;
118;744;13173220.21350 ns;
119;779;13203285.16886 ns;
120;754;13311106.24596 ns;
121;750;13141687.02811 ns;
122;761;13154218.90467 ns;
123;782;13146632.35098 ns;
124;778;13207179.02854 ns;
125;792;13161128.85252 ns;
126;738;13203421.14195 ns;
127;741;13224829.91964 ns;
128;761;13143830.93268 ns;
129;752;13184709.94011 ns;
130;766;13185722.75341 ns;
131;770;13147470.07564 ns;
132;742;13299275.18964 ns;
133;744;13189950.02657 ns;
134;768;13145402.07386 ns;
135;775;13143012.76579 ns;
136;759;13217770.96018 ns;
137;750;13306355.10385 ns;
138;711;13228046.24215 ns;
139;761;13148125.26107 ns;
140;755;13253336.30666 ns;
141;763;13227653.68968 ns;
142;758;13263059.78000 ns;
143;726;13169378.97354 ns;
144;761;13201745.22698 ns;
145;762;13225725.85195 ns;
146;758;13141027.65173 ns;
147;748;13185352.08702 ns;
148;776;13146563.89877 ns;
149;761;13143493.79390 ns;
150;751;13164834.11938 ns;
151;745;13229680.71327 ns;
152;745;13204724.06223 ns;
153;717;13187848.96284 ns;
154;747;13226184.06266 ns;
155;763;13182342.05246 ns;
156;763;13184580.95193 ns;
157;743;13315815.94422 ns;
158;784;13149022.12471 ns;
159;736;13185655.69818 ns;
160;797;13306800.74170 ns;
161;765;13224837.83588 ns;
162;775;13189984.01985 ns;
163;804;13243608.17671 ns;
164;711;13301103.37585 ns;
165;729;13280312.06504 ns;
166;763;13185419.60791 ns;
167;746;13374938.16391 ns;
168;734;13188495.30071 ns;
169;748;13172866.77659 ns;
170;767;13163774.73995 ns;
171;780;13706685.97519 ns;
172;762;13257537.03713 ns;
173;733;13318285.81169 ns;
174;774;13414680.95779 ns;
175;760;13212194.20061 ns;
176;758;13348971.02788 ns;
177;766;13290957.08206 ns;
178;734;13257051.35241 ns;
179;749;13599487.95289 ns;
180;802;13319924.00810 ns;
181;736;13343133.96364 ns;
182;736;13217998.20289 ns;
183;737;13300098.01313 ns;
184;769;13353167.10174 ns;
185;754;13269172.05006 ns;
186;758;13357960.15337 ns;
187;738;18728130.96270 ns;
188;755;13399882.24208 ns;
189;764;13260755.68795 ns;
190;781;13407726.30647 ns;
191;724;13404726.05079 ns;
192;790;13486628.88631 ns;
193;772;13543587.17799 ns;
194;756;13220819.17897 ns;
195;767;13170432.29938 ns;
196;749;13163403.60790 ns;
197;709;13254310.00441 ns;
198;735;13182357.88494 ns;
199;749;13231751.97467 ns;
200;739;13146883.80808 ns;
201;733;13189604.04024 ns;
202;765;13142373.87851 ns;
203;743;13205204.15902 ns;
204;780;13206074.94563 ns;
205;741;13186912.05233 ns;
206;765;13153151.60900 ns;
207;797;13240620.95955 ns;
208;754;13164474.16320 ns;
209;782;13143819.29114 ns;
210;752;13244896.66149 ns;
211;753;13216027.98998 ns;
212;741;13143249.32173 ns;
213;774;13145934.79037 ns;
214;756;13228220.86513 ns;
215;779;13182495.25502 ns;
216;760;13189904.85743 ns;
217;721;13180841.22613 ns;
218;738;13145936.18736 ns;
219;784;13182440.30699 ns;
220;756;13325930.57305 ns;
221;767;13166190.12505 ns;
222;733;13144834.89841 ns;
223;771;13429038.22660 ns;
224;770;13145131.99031 ns;
225;735;13167150.31862 ns;
226;779;13182014.22691 ns;
227;771;13163036.20115 ns;
228;774;13172940.81673 ns;
229;767;13189557.00845 ns;
230;750;13188633.13645 ns;
231;773;13143988.79185 ns;
232;754;13210066.12852 ns;
233;753;13250282.96560 ns;
234;762;13147132.00554 ns;
235;765;13189940.24768 ns;
236;771;13185102.95823 ns;
237;741;13281903.69532 ns;
238;763;13161042.23952 ns;
239;774;13144721.27706 ns;
240;746;13184965.12249 ns;
241;724;13185582.12370 ns;
242;752;13208767.86485 ns;
243;752;13145273.08568 ns;
244;744;13347981.96331 ns;
245;772;13213361.61345 ns;
246;764;13207035.13920 ns;
247;770;13189030.34553 ns;
248;760;13143988.79185 ns;
249;775;13153966.05060 ns;
250;765;13206624.89161 ns;
251;766;13279927.89447 ns;
252;767;13316184.74796 ns;
253;775;13142944.31359 ns;
254;764;13153395.14986 ns;
255;748;13161418.95950 ns;
256;769;13389445.84131 ns;
257;745;13274224.00936 ns;
258;754;13162611.98372 ns;
259;754;13196725.86396 ns;
260;764;13478241.86087 ns;
261;761;13159697.87538 ns;
262;786;13140955.93989 ns;
263;756;13145369.94323 ns;
264;775;13245976.99568 ns;
265;754;13246180.02400 ns;
266;749;13141923.58404 ns;
267;749;13142927.08412 ns;
268;759;13202642.09062 ns;
269;752;13228191.06281 ns;
270;747;13147352.26333 ns;
271;762;13144223.01948 ns;
272;763;13256839.94219 ns;
273;763;13186424.97063 ns;
274;734;13274502.00915 ns;
275;745;13146614.19019 ns;
276;797;13163388.24108 ns;
277;774;13290491.88644 ns;
278;712;13411548.45431 ns;
279;773;13144711.96383 ns;
280;782;13146908.02246 ns;
281;782;13143840.24590 ns;
282;771;13162538.87489 ns;
283;778;13184956.27493 ns;
284;758;13188624.75455 ns;
285;755;13189334.88801 ns;
286;750;13186324.85345 ns;
287;771;13184815.17956 ns;
288;704;13143582.26955 ns;
289;775;13190557.24889 ns;
290;738;13182993.04694 ns;
291;767;13284121.17437 ns;
292;776;13295921.03139 ns;
293;759;13190902.76957 ns;
294;749;13190222.90409 ns;
295;742;13176220.00352 ns;
296;782;13145122.21143 ns;
297;724;13296422.08293 ns;
298;766;13173653.27850 ns;
299;712;13246815.18599 ns;
300;784;13187862.93268 ns;
301;785;13166030.86889 ns;
302;731;13144620.22856 ns;
303;747;13203486.80019 ns;
304;747;13143203.22126 ns;
305;771;13207093.34686 ns;
306;744;13204250.01904 ns;
307;743;13178493.36192 ns;
308;796;13285537.71600 ns;
309;753;13287437.14839 ns;
310;752;13136627.61822 ns;
311;740;13145135.24994 ns;
312;771;13230630.66229 ns;
313;758;13144528.95895 ns;
314;767;13146359.93913 ns;
315;780;13181626.79672 ns;
316;766;13147072.40090 ns;
317;762;13144958.76431 ns;
318;767;13146739.91874 ns;
319;769;13226124.92368 ns;
320;745;13184588.40251 ns;
321;759;13282289.72852 ns;
322;786;13196240.64490 ns;
323;774;13173984.82934 ns;
324;770;13144541.99746 ns;
325;742;13185006.10068 ns;
326;761;13166781.98054 ns;
327;789;13171487.02219 ns;
328;748;13160033.61717 ns;
329;759;13412808.06810 ns;
330;760;13199722.86001 ns;
331;780;13132622.93115 ns;
332;771;13145854.23097 ns;
333;791;13414855.11512 ns;
334;758;13179348.78170 ns;
335;761;13176715.93279 ns;
336;731;13144333.84687 ns;
337;793;13147226.06912 ns;
338;753;13181164.86073 ns;
339;747;13143286.10897 ns;
340;730;13541826.97833 ns;
341;762;13287729.58368 ns;
342;777;13185748.83044 ns;
343;766;13185449.41023 ns;
344;738;13189917.89594 ns;
345;755;13141902.16362 ns;
346;767;13514148.07141 ns;
347;739;13184641.95356 ns;
348;760;13233168.05065 ns;
349;771;13144610.91533 ns;
350;785;13144181.10996 ns;
351;779;13148517.81353 ns;
352;727;13170651.62584 ns;
353;776;13158582.61660 ns;
354;786;13264419.04530 ns;
355;773;13238626.99792 ns;
356;772;13146288.69295 ns;
357;745;13146906.15982 ns;
358;789;13158326.96855 ns;
359;728;13468274.84667 ns;
360;796;13183846.13842 ns;
361;731;13207100.33178 ns;
362;806;13214562.08825 ns;
363;775;13146938.29045 ns;
364;768;13283424.07942 ns;
365;771;13168001.08179 ns;
366;759;13157495.76315 ns;
367;753;13161554.00127 ns;
368;727;13197598.04755 ns;
369;772;13146555.98253 ns;
370;787;13189048.97198 ns;
371;746;13204033.95221 ns;
372;728;13162038.75467 ns;
373;768;13217599.13117 ns;
374;776;13319885.82388 ns;
375;764;13204357.12114 ns;
376;799;13184555.80622 ns;
377;770;13191414.06566 ns;
378;764;13144802.76778 ns;
379;751;13145321.04880 ns;
380;791;13189187.73904 ns;
381;725;13155716.93704 ns;
382;747;13138489.79771 ns;
383;765;13146952.72595 ns;
384;734;13196933.08324 ns;
385;756;13144465.16335 ns;
386;769;13231048.36047 ns;
387;743;13144905.21327 ns;
388;758;13326728.25083 ns;
389;746;13624761.71926 ns;
390;755;13352961.74511 ns;
391;788;13341193.08740 ns;
392;762;13278217.98623 ns;
393;782;13343844.09711 ns;
394;762;13338875.95683 ns;
395;761;13342974.70748 ns;
396;768;13213517.14432 ns;
397;744;13256459.03125 ns;
398;750;13331664.72614 ns;
399;762;13291242.99809 ns;
400;784;13277216.81446 ns;
401;767;13332930.85918 ns;
402;744;13231569.90111 ns;
403;743;13361754.82720 ns;
404;745;13262650.92939 ns;
405;767;13148275.20400 ns;
406;782;13146891.25866 ns;
407;772;13241834.00720 ns;
408;746;13317392.20768 ns;
409;747;13187124.39388 ns;
410;753;13607916.88785 ns;
411;743;13203593.90229 ns;
412;752;13204966.67176 ns;
413;722;13186329.97572 ns;
414;753;13186632.65556 ns;
415;756;13200864.66148 ns;
416;763;13325128.70431 ns;
417;742;13161696.02796 ns;
418;752;13187213.33519 ns;
419;756;13182573.02046 ns;
420;770;13167720.28804 ns;
421;778;13275666.16237 ns;
422;738;13200078.15957 ns;
423;746;13200091.19809 ns;
424;732;13212237.97277 ns;
425;749;13191134.66889 ns;
426;743;13347169.85002 ns;
427;754;13177277.05464 ns;
428;718;13320541.00931 ns;
429;746;13141604.14040 ns;
430;752;13145260.04717 ns;
431;746;13157541.86362 ns;
432;749;13255685.10219 ns;
433;770;13206521.98046 ns;
434;749;13433880.17267 ns;
435;758;13183513.65626 ns;
436;753;13200408.31342 ns;
437;721;13192872.98247 ns;
438;776;13190241.99620 ns;
439;771;13221529.77809 ns;
440;764;13200536.83594 ns;
441;766;13145627.91958 ns;
442;770;13157075.73667 ns;
443;781;13198155.90978 ns;
444;751;13199673.96557 ns;
445;778;13202765.02520 ns;
446;745;13223963.78964 ns;
447;754;13181742.74638 ns;
448;732;13185058.25475 ns;
449;751;13182997.70355 ns;
450;733;13169199.69395 ns;
451;771;13275291.77070 ns;
452;766;13199663.72102 ns;
453;753;13145930.13376 ns;
454;787;13147610.23968 ns;
455;777;13159516.26748 ns;
456;770;13165497.68671 ns;
457;725;13204660.26664 ns;
458;750;13203748.03618 ns;
459;738;13163981.95922 ns;
460;777;13140539.17304 ns;
461;755;13246810.06372 ns;
462;785;13261752.20311 ns;
463;751;13229164.29490 ns;
464;744;13261636.25345 ns;
465;761;13207316.39862 ns;
466;720;13159598.68953 ns;
467;736;13143833.26098 ns;
468;771;13184177.22359 ns;
469;761;13241965.78935 ns;
470;771;13146216.04979 ns;
471;728;13186017.05134 ns;
472;735;13157624.28567 ns;
473;754;13182933.90796 ns;
474;762;13181991.87517 ns;
475;723;13202944.30479 ns;
476;745;13239347.84159 ns;
477;760;13277081.77269 ns;
478;770;13191115.11111 ns;
479;755;13261266.98405 ns;
480;727;13168015.05163 ns;
481;758;13142791.11102 ns;
482;739;13242439.36688 ns;
483;740;13143114.74562 ns;
484;755;13183992.35606 ns;
485;753;13202066.06761 ns;
486;724;13226213.86498 ns;
487;741;13237976.93476 ns;
488;757;13257902.11558 ns;
489;771;13185591.90258 ns;
490;765;13239989.98851 ns;
491;736;13244306.66864 ns;
492;781;13228480.23847 ns;
493;759;13201018.79537 ns;
494;770;13146809.76793 ns;
495;746;13186179.56713 ns;
496;732;13186858.03562 ns;
497;743;13223735.14995 ns;
498;749;13149423.05908 ns;
499;777;13145847.71171 ns;
500;714;13142364.09962 ns;
501;763;13158324.64024 ns;
502;753;13185610.99470 ns;
503;755;13222665.06031 ns;
504;734;13145573.90288 ns;
505;774;13185835.90910 ns;
506;765;13148137.36826 ns;
507;751;13145641.88942 ns;
508;737;13144652.35919 ns;
509;746;13223278.80189 ns;
510;721;13241119.68279 ns;
511;737;13184607.02896 ns;
512;745;13324165.71677 ns;
513;784;13273620.04668 ns;
514;800;13145977.16555 ns;
515;792;13143165.03704 ns;
516;798;13216571.88237 ns;
517;768;13178566.00508 ns;
518;767;13311811.25715 ns;
519;747;13163710.94435 ns;
520;744;13146899.64056 ns;
521;765;13184398.87837 ns;
522;751;13201293.06987 ns;
523;749;13277275.02212 ns;
524;742;13226381.96871 ns;
525;771;13369680.38231 ns;
526;757;13321829.95975 ns;
527;743;13368526.93930 ns;
528;761;13330982.06669 ns;
529;747;13337926.93913 ns;
530;740;13419389.25907 ns;
531;784;13514270.07467 ns;
532;735;13452108.01810 ns;
533;762;13453644.23469 ns;
534;780;13482954.81876 ns;
535;758;13438521.88438 ns;
536;743;13261952.90312 ns;
537;777;13325272.12799 ns;
538;774;17670557.36855 ns;
539;760;13490914.83280 ns;
540;776;13253597.07698 ns;
541;771;13627542.18280 ns;
542;762;13143148.73889 ns;
543;733;13183446.13537 ns;
544;763;13205013.70355 ns;
545;781;13182627.96849 ns;
546;767;13161355.62956 ns;
547;770;13179332.01790 ns;
548;785;13146557.84518 ns;
549;778;13185767.45689 ns;
550;749;13134409.20785 ns;
551;736;13148690.10821 ns;
552;752;13315312.09871 ns;
553;757;13187975.15705 ns;
554;763;13216271.99650 ns;
555;778;13273920.39821 ns;
556;760;13157430.10491 ns;
557;754;13277273.15947 ns;
558;761;13187394.94309 ns;
559;761;13148153.20075 ns;
560;814;13163596.85734 ns;
561;764;13160608.24320 ns;
562;734;13201745.22698 ns;
