ID;HW;LENGTH;TIME
0;1001;13365313.87642 ns;
1;1060;13136652.76393 ns;
2;1034;13263253.02944 ns;
3;1038;13240830.04147 ns;
4;1048;13117630.03469 ns;
5;1082;13223223.85386 ns;
6;1040;13175980.18795 ns;
7;1083;13218827.07998 ns;
8;1007;13141195.75545 ns;
9;1031;13131788.93179 ns;
10;1039;13121149.96836 ns;
11;1046;13120605.14465 ns;
12;1003;13258899.09640 ns;
13;1074;13123407.02862 ns;
14;1046;13163134.92134 ns;
15;1019;13220570.05018 ns;
16;1023;13157325.33112 ns;
17;1026;13177325.94907 ns;
18;1048;13182745.31513 ns;
19;1050;13181875.92551 ns;
20;1057;13123271.05552 ns;
21;1018;13196425.97809 ns;
22;1028;13181769.75474 ns;
23;1038;13142471.20172 ns;
24;1036;13124846.85332 ns;
25;1000;13152979.77999 ns;
26;1011;13119529.00141 ns;
27;1043;13200805.98816 ns;
28;1053;13119668.23414 ns;
29;1025;13138854.87616 ns;
30;1043;13122302.01438 ns;
31;1019;13158726.97160 ns;
32;1011;13381931.93078 ns;
33;1029;13382694.21831 ns;
34;1021;13142029.75482 ns;
35;1027;13180700.59642 ns;
36;1030;13224729.80246 ns;
37;1010;13216501.10185 ns;
38;1033;13159246.18393 ns;
39;991;13215732.76073 ns;
40;1068;13120975.34537 ns;
41;1036;13239751.56993 ns;
42;997;13242572.08034 ns;
43;1036;13158474.11752 ns;
44;1001;13181209.09855 ns;
45;1027;13282230.58954 ns;
46;1037;13150841.92902 ns;
47;1019;13179089.87403 ns;
48;993;13125962.11210 ns;
49;1027;13169672.80582 ns;
50;1034;13137052.76698 ns;
51;1033;13169426.93666 ns;
52;974;13224918.39528 ns;
53;1017;13181779.99929 ns;
54;1016;13120039.83185 ns;
55;1067;13655124.69783 ns;
56;1038;13266592.28653 ns;
57;1036;13208232.82003 ns;
58;1056;13210889.88334 ns;
59;1023;13207343.87264 ns;
60;1016;13232504.01765 ns;
61;1045;13252345.84510 ns;
62;1038;13417500.07123 ns;
63;1027;13493193.77914 ns;
64;1013;13230054.17362 ns;
65;996;13235554.09908 ns;
66;1030;13286523.98661 ns;
67;1046;13286030.85130 ns;
68;1040;13333947.86343 ns;
69;992;13126335.10679 ns;
70;1052;13303498.73751 ns;
71;1054;13648916.03589 ns;
72;1028;13203355.94937 ns;
73;1036;13259878.84775 ns;
74;1042;13131482.99232 ns;
75;998;13120516.66901 ns;
76;1024;13198294.67684 ns;
77;1002;13200412.97004 ns;
78;998;13119770.21396 ns;
79;1026;13122247.99767 ns;
80;1022;13124029.15210 ns;
81;1017;13160824.31003 ns;
82;1009;13123550.91795 ns;
83;963;13224645.98343 ns;
84;1003;13139618.09501 ns;
85;1009;13204873.07385 ns;
86;1009;13121889.90414 ns;
