ID;HW;TIME;
0;245;1546413.63770;
1;263;1532303.16937;
2;263;1525914.29651;
3;252;1532212.83108;
4;244;1557893.11975;
5;252;1538891.34526;
6;257;1473624.25923;
7;272;1472143.45634;
8;260;1483610.83120;
9;247;1517371.27453;
10;254;1543244.34698;
11;276;1552867.70314;
12;258;1566715.53850;
13;251;1519380.13732;
14;264;1525896.60138;
15;243;1520017.16197;
16;274;1531017.94422;
17;255;1527675.42750;
18;259;1534263.60339;
19;259;1488744.28123;
20;264;1474111.34094;
21;265;1490108.66880;
22;237;1479860.39519;
23;240;1525804.40044;
24;262;1536638.47595;
25;260;1528325.49065;
26;257;1531043.08993;
27;254;1527269.37085;
28;266;1523092.38911;
29;267;1515142.61961;
30;251;1517818.30937;
31;272;1525185.07093;
32;272;1516968.01186;
33;254;1491480.50696;
34;259;1488901.67475;
35;252;1474819.14610;
36;241;1473017.96824;
37;241;1511946.32053;
38;263;1522695.64569;
39;257;1494830.47426;
40;254;1481886.95312;
41;269;1528303.13891;
42;253;1512391.49272;
43;279;1514627.59823;
44;268;1515069.04513;
45;249;1520542.42790;
46;246;1529430.03923;
47;255;1515485.34632;
48;278;1516095.36260;
49;256;1513409.42830;
50;250;1530362.29312;
51;241;1540403.81312;
52;255;1528349.70504;
53;255;1474215.64907;
54;278;1484506.76352;
55;261;1471988.85679;
56;252;1514384.52303;
57;244;1558520.83117;
58;252;1522053.96444;
59;251;1515519.80525;
60;242;1515747.04796;
61;274;1514979.63816;
62;274;1521195.28502;
63;255;1520503.31235;
64;255;1516275.10786;
65;252;1525558.53128;
66;248;1518275.58875;
67;257;1472980.71533;
68;243;1480448.05974;
69;266;1480557.02448;
70;229;1518321.22356;
71;250;1515527.25583;
72;249;1514501.86968;
73;247;1514171.25016;
74;259;1549746.84119;
75;264;1521940.34308;
76;270;1555455.84857;
77;269;1479485.07220;
78;264;1478213.81688;
79;240;1486663.70660;
80;250;1600868.99996;
81;270;1488532.87101;
82;247;1483784.98852;
83;249;1481179.14796;
84;258;1513540.74478;
85;271;1513806.17172;
86;259;1542900.68895;
87;249;1530165.78406;
88;242;1515923.99925;
89;272;1516127.02757;
90;242;1515232.02658;
91;250;1562893.39066;
92;261;1573067.15846;
93;242;1566165.12686;
94;251;1557176.00137;
95;244;1554738.73019;
96;268;1561304.55434;
97;258;1631162.12934;
