ID;HW;TIME;
0;753;13223960.99567;
1;787;13182668.01536;
2;757;13144819.06593;
3;751;13188019.86054;
4;778;13224028.98222;
5;768;13184369.07604;
6;759;13146213.25582;
7;787;13342400.08146;
8;746;13146997.42943;
9;781;13145294.97176;
10;749;13184718.32201;
11;777;13167915.86578;
12;769;13189837.80220;
13;775;13142140.58220;
14;739;13227888.84863;
15;790;13186927.88482;
16;752;13222950.04502;
17;763;13150174.63639;
18;766;13222365.17444;
19;755;13188874.34900;
20;732;13222869.95128;
21;769;13426532.96888;
22;753;13223530.25898;
23;721;13141721.95271;
24;727;13290359.17297;
25;738;13208749.70406;
26;752;13309791.21849;
27;763;13246437.06903;
28;793;13265992.98045;
29;716;13267349.91744;
30;729;13265450.01939;
31;760;13250572.14126;
32;759;13300349.93589;
33;786;13185365.12554;
34;778;13166317.25058;
35;797;13191038.27700;
36;743;13165426.90620;
37;743;13145905.91937;
38;759;13185712.04320;
39;729;13182559.05062;
40;759;13362561.35255;
41;758;13259842.06051;
42;761;13146130.83377;
43;769;13305253.34924;
44;729;13232375.02947;
45;750;13292757.79426;
46;790;13246097.13629;
47;776;13409923.29642;
48;755;13377541.21050;
49;778;13306062.20290;
50;764;13295084.23805;
51;757;13238929.21209;
52;733;13291958.71949;
53;802;13269610.70299;
54;738;13285550.28886;
55;793;15967849.17638;
56;747;13237167.61544;
57;768;13219859.91672;
58;728;13290234.84141;
59;768;13631836.97686;
60;762;13225791.04453;
61;751;13312238.73422;
62;771;13143718.70831;
63;741;13456760.90568;
64;766;13326882.85038;
65;744;13187896.92596;
66;730;13143165.96836;
67;751;13221203.81519;
68;736;13191394.04222;
69;751;13213586.99352;
70;764;13158335.81612;
71;796;13158536.98179;
72;760;13297396.24634;
73;736;13166743.33066;
74;751;13188821.72927;
75;801;13187691.10367;
76;760;13248458.97034;
77;762;13142720.33051;
78;752;13148366.93928;
79;739;13182755.09402;
80;733;13203716.83687;
81;757;13141392.73018;
82;749;13268269.13282;
83;771;13158409.39060;
84;755;13192117.67986;
85;741;13146685.90203;
86;751;13294467.70251;
87;763;13144616.03761;
88;757;13146843.76121;
89;751;13144573.66243;
90;769;13212164.86394;
91;736;13186451.97898;
92;759;13130187.05696;
93;747;13142898.21312;
94;772;13174117.07714;
95;745;13143321.03357;
96;750;13158965.85584;
97;745;13344403.82197;
98;781;13190912.08279;
99;757;13187751.17397;
100;741;13217862.22979;
101;797;13409428.76413;
102;777;13160577.97521;
103;760;13188746.75781;
104;766;13208917.80779;
105;802;13144999.27685;
106;794;13244986.06846;
107;748;13203289.82547;
108;737;13150099.66493;
109;771;13146745.04101;
110;747;13281804.97512;
111;752;13147308.02551;
112;753;13145654.92794;
113;776;13223841.32072;
114;737;13141989.24229;
115;771;13204182.03250;
116;805;13190556.78323;
117;740;13148629.10658;
118;744;13173220.21350;
119;779;13203285.16886;
